lsm6dsr_accelerometer.x,lsm6dsr_accelerometer.y,lsm6dsr_accelerometer.z,lsm6dsr_gyroscope.x,lsm6dsr_gyroscope.y,lsm6dsr_gyroscope.z
-2.3054845,2.757728,8.963513,-0.03940081,0.06047566,-0.15699236
-2.3102703,2.772085,9.001799,-0.09117164,0.058643065,-0.13973543
-2.352743,2.7708886,9.174082,-0.113162786,0.038789943,-0.1421789
-2.4855444,2.7272196,9.2793665,-0.09239337,0.04886922,-0.12751812
-2.5142584,2.7278178,9.135199,-0.017562376,0.10598512,-0.06994407
-2.4963121,2.824727,8.8289175,0.053145275,0.077579886,-0.08124508
-2.5202405,2.8630123,8.69492,0.08781188,-0.042760566,-0.13439035
-2.5812573,2.6428726,8.752945,0.049632803,-0.17150041,-0.20219639
-2.5812573,2.5663023,8.796016,-0.025809057,-0.1601994,-0.21899518
-3.0095727,2.612364,8.929416,-0.12217305,-0.16508633,-0.24327709
-2.9653056,2.4299114,9.2075815,-0.12965615,-0.15424347,-0.19792034
-3.0604203,2.4155545,9.178867,-0.09468412,-0.18310685,-0.14660765
-3.1220353,2.376671,9.250652,-0.07941248,-0.22556199,-0.082924955
-3.0125637,2.3102703,9.150154,-0.028099801,-0.16371189,0.0421497
-2.6578279,2.7469604,8.967701,0.05879578,-0.09193522,0.06414085
-2.4783661,3.0640094,8.603394,0.13164146,-0.10323623,-0.036651913
-2.3748765,3.269792,8.584251,0.1328632,-0.2228131,-0.17195857
-2.1936202,3.2793634,8.737391,0.11255192,-0.40133846,-0.33429602
-2.096711,3.054438,8.99163,0.010537425,-0.57711494,-0.5195409
-2.1284158,2.7421749,9.4229355,-0.11988231,-0.61300325,-0.54993147
-2.0739791,2.4879375,9.806385,-0.19776763,-0.48838675,-0.47952923
-2.0787647,2.4538395,9.91167,-0.16768251,-0.30482176,-0.36987892
-2.2265215,2.5208387,9.897313,-0.04337143,-0.14095716,-0.2275473
-2.288735,2.6111677,9.853643,0.076358154,-0.023365596,-0.13072516
-2.3856442,2.7655048,9.379865,0.23319781,0.09697486,-0.038789943
-2.3545375,3.1070802,8.733205,0.27748555,0.11224649,0.003970624
-2.3844478,3.251846,8.364112,0.23579398,0.08368854,-0.035124753
-2.7272196,3.0747771,8.005188,0.1638646,9.16E-04,-0.07941248
-2.9072795,2.8833513,8.067402,0.07192938,-0.16982053,-0.056352317
-2.8295128,2.7481568,8.498708,-0.04230242,-0.22006421,-0.019242255
-2.8995028,2.5316064,8.867801,-0.116217114,-0.13439035,0.016798794
-2.7122645,2.224727,9.303893,-0.09666943,0.24297164,0.17715092
-2.452045,2.5669005,8.82473,-0.009468411,0.40393466,0.25961772
-2.4837499,2.9940193,8.245069,0.03772093,0.15439619,0.23900102
-2.393421,3.132803,8.249256,0.012675454,-0.16325374,0.15607607
-2.283351,2.9647074,8.493922,-0.0777326,-0.25228736,0.0983493
-2.2642083,3.0412776,8.575278,-0.17577648,-0.20708331,0.106137834
-2.1361923,3.2422748,8.589037,-0.23533584,-0.183565,0.12110403
-1.899303,3.5150564,8.65125,-0.22907446,-0.18463401,0.11010846
-1.9716859,3.6963127,8.593225,-0.19685133,-0.20738874,0.07315111
