lsm6dso_lsm6dso_accelerometer.x,lsm6dso_lsm6dso_accelerometer.y,lsm6dso_lsm6dso_accelerometer.z,lsm6dso_lsm6dso_gyroscope.x,lsm6dso_lsm6dso_gyroscope.y,lsm6dso_lsm6dso_gyroscope.z
1.134198,3.790231,9.068798,0.021227552,0.023823727,0.002290743
1.2346965,3.7806597,9.064013,-0.019089524,0.010384701,0.007177661
1.1485549,3.7615173,9.111869,0.004123337,0.0018325944,-0.009926553
1.1676974,3.7567315,9.126225,-0.027641632,0.011606431,0.007177661
1.0959128,3.6179478,9.145369,-0.028863361,-0.0030543238,0.018173227
1.3112668,3.4983068,9.3511505,-0.019089524,-0.14966187,0.03649917
1.4261223,3.6658044,9.19801,-0.06429352,-0.20952661,-0.102778
1.6079768,3.6275191,9.006584,0.040775225,-0.2083049,-0.10766492
1.8281165,3.493521,9.212367,-0.22556181,-0.5210677,-0.1565341
2.469393,3.7710886,8.551949,0.09086613,-0.43799004,0.046273008
2.565106,3.2398818,8.867801,0.28023422,0.36346453,-1.53E-04
2.0578275,3.5605202,9.71486,-0.047189303,0.1631009,0.069485866
1.9190438,3.4600215,9.131011,-0.010537418,0.04092794,0.0108428495
1.8711873,3.4743786,9.2075815,-0.056963142,0.026267186,-0.01847866
1.875973,3.4648073,9.145369,0.010231985,0.010384701,0.0010690134
1.8903298,3.4360933,9.083155,-0.006872229,0.017715078,-0.0025961753
1.9142581,3.4600215,9.174082,-0.017867794,0.007941242,-0.009926553
1.8041883,3.3882368,9.030513,-0.0056504994,0.011606431,-0.0013744457
1.861616,3.4983068,8.786445,-0.03252855,0.016493348,-0.0013744457
1.4548361,3.2446675,9.475577,-0.1999055,0.30482152,-0.28848088
1.4500505,2.5555346,9.686146,-0.12904519,0.24740024,-0.012370012
1.1629118,3.0436704,9.7196455,-0.22189663,0.29626942,-0.060017463
0.9906286,2.8235307,9.360723,-0.10461059,-0.048258316,0.12812889
1.18684,2.9575288,10.303494,-0.18402301,0.26939136,-0.034361143
