bmi160_accelerometer.x,bmi160_accelerometer.y,bmi160_accelerometer.z,bmi160_gyroscope.x,bmi160_gyroscope.y,bmi160_gyroscope.z
-0.98454165,-0.52520865,13.220646,-0.6765755,-0.47923544,-0.25606272
-0.9408242,-0.6587566,10.632332,0.13302478,-0.26831326,0.24674167
-0.53778493,0.025751395,8.277576,0.26298693,-0.816924,0.21584903
-0.6240222,1.4714227,5.961747,-0.22703429,-0.18735322,0.2978743
-0.5659318,1.3708127,6.7594414,0.19907112,-0.5964144,0.2659164
-0.6958865,2.113411,7.9673615,0.048868965,-0.21078902,0.25313324
-1.2336714,2.9416478,8.946513,0.28003114,-0.36099118,0.15619427
-0.24134447,1.2414567,11.553393,-0.26644903,-0.29814062,0.46831647
2.2996595,0.59048545,13.162556,-0.09494161,-1.075783,0.44914174
3.8992403,0.18804507,11.992964,0.6528734,1.2880367,0.017710006
3.0488453,-0.72642887,13.91234,0.03182475,-0.5356944,-0.1484711
1.3678182,0.9402253,8.984242,0.5388902,0.39641118,-0.139949
0.90189767,1.7540891,7.216978,0.43982068,0.25153536,0.015579479
-0.025152525,1.4857956,5.655725,0.43555963,0.61159444,-0.11438267
0.5755137,1.9073998,5.4886403,0.37910065,0.37084487,-0.044075277
0.5174234,2.898529,6.271363,0.14048162,0.3261038,0.009187898
0.05150279,3.6884382,8.606955,0.001997369,0.2760364,0.15299848
0.08563836,3.8657036,11.209641,0.06484792,-0.30027115,0.13915005
-0.918666,4.717895,11.720478,0.44940805,0.58163387,0.1817606
-1.6295242,1.1887562,12.985889,0.009454214,0.06072002,0.35539854
-0.8755474,2.9751844,11.14736,0.2789659,-0.13209268,0.20839217
-0.36171725,1.1360557,11.271325,-0.3783017,-0.24394535,0.22117534
-0.21259873,2.122394,7.360108,-0.19081533,-0.34088433,0.3362238
0.08503949,1.5624509,5.9563575,-0.28349325,-0.4548675,0.13488899
0.555751,1.7540891,5.7940636,0.013715268,-0.33662328,0.20945744
-0.22637272,1.7972078,6.563012,0.25659534,-0.17776585,0.09014793
0.1006101,3.0374668,8.554254,1.0076061,0.45926175,-0.5309007
0.51802224,5.364075,9.2615185,0.31731537,-0.18309216,-0.7109302
-1.9265636,5.5557137,11.524648,0.00519316,0.0075900024,0.8198534
-0.34135568,3.4440992,14.839391,-1.3263862,-1.1972231,-0.22836587
1.4115357,1.9169817,13.239211,0.86699134,-0.704006,0.35859433
1.1282704,0.6623498,10.297564,-0.2994722,-0.24807325,0.3649859
1.065988,2.8122919,8.430288,0.14793848,-0.23955114,0.41931435
-0.12995471,1.6678519,7.5325823,-0.13542162,0.61372495,0.5961481
-0.2503275,1.2845753,6.630086,0.4302333,0.6574007,0.66965127
0.25931054,2.0846653,5.8323913,0.33649012,0.5530049,0.97218615
0.28326535,3.9567318,6.606131,-0.12796478,0.302668,0.80707026
1.4025527,5.210765,9.600479,-0.058722652,-0.16604795,0.628106
1.6474904,2.783546,11.171314,-1.1293125,-0.56232595,0.10293109
1.2438523,3.487218,13.43025,0.19374481,0.4635228,0.5482112
0.7635588,0.6671408,14.027324,-1.1942936,0.28029746,-0.28162906
-0.83123106,-0.99891454,10.937755,0.3343596,0.16418374,0.5034702
-0.7827226,0.8444062,10.751507,-0.11624688,0.5071986,1.0851041
-0.36051953,0.26529926,8.24404,-0.714925,0.8512787,0.9114661
-0.34614664,0.34614664,6.4390464,-0.34208274,0.9460872,0.9700556
-0.69169444,0.94501626,3.821986,-0.32503852,-0.8595345,0.22650166
0.3551297,1.2797844,9.638806,0.27683535,-1.7980317,0.44275016
-0.091627054,2.4673429,10.249654,0.14048162,-0.11065425,0.4033354
-0.27907324,1.0839541,11.835461,0.22357218,-0.045673173,0.6344976
0.009581914,2.3044503,12.470263,0.22463745,-0.53995544,1.0137314
3.261444,-2.536213,14.925029,-0.07576687,-0.39721015,0.7548724
1.3444623,0.48987538,9.318412,1.2142673,0.4539354,1.339702
1.6091627,0.1694801,10.407756,0.08828372,0.004394212,1.0424935
0.50424826,0.36051953,7.9050794,0.33968592,0.44967437,1.2576767
0.57611257,1.2462478,7.1217575,0.47284386,0.39747646,1.3599421
0.7923045,1.0456264,6.5390577,0.5442165,0.39428067,1.4345105
0.63420296,0.7773328,6.901973,0.94901663,0.31971222,1.5879084
-0.20661002,2.012801,9.051315,0.69122285,0.70959866,1.8989654
0.07186436,3.7411387,11.439009,-0.029960537,0.8864324,1.4813821
0.37968335,2.0655015,12.537335,-1.3892368,3.4174986,1.1191925
-2.531422,-0.376689,14.132725,0.17137428,1.1804452,1.7892432
-3.386009,-0.43897143,10.440693,0.16285217,0.6840323,2.2473066
-1.7726542,0.7437961,8.697983,-0.5189165,0.78310186,2.107757
-0.7689486,1.6055695,6.338436,-0.27284062,0.1332911,1.767938
-0.7162481,1.1318636,5.727589,0.0914795,-0.028628957,1.4089441
-1.1773777,2.35236,8.076955,0.17989638,-0.03182475,1.2321104
-2.508066,1.9744732,10.741325,0.16391742,-0.150069,1.2459588
-1.9265636,3.7603025,12.818805,0.14793848,-0.2928143,1.3897694
-1.2061235,1.8451173,13.807538,-0.5721797,-1.0598041,0.84009343
1.0995246,-0.3671071,11.816297,0.21291955,-0.1969406,0.59827864
0.24433881,1.4905865,7.331961,0.27790064,0.1886848,0.943424
0.27308455,2.6541903,6.228843,0.28322694,-0.30346695,0.7729818
0.056892615,2.0271738,6.290527,-0.2557964,-0.08402266,0.32876694
0.98873377,2.141558,7.32717,-0.05233107,-0.43662488,0.37350804
1.4642363,2.0750833,9.562152,0.81159765,-0.63156813,0.25206798
1.3294905,3.4201446,11.094659,1.9120148,-0.918124,0.22756693
1.5648464,3.1087322,13.306285,1.0832398,-0.7050713,0.5194491
1.492982,4.2435904,13.315268,0.22676797,-0.17137428,1.0116009
1.0318524,2.4673429,9.642999,-0.3495396,0.94289136,1.2299799
0.12875697,3.707602,5.249691,-0.28881958,1.005742,1.6358453
1.2432534,2.0367556,4.5717707,0.21291955,-0.24487746,1.3333105
2.7230601,1.6870158,6.840289,0.98310506,-0.4281028,1.4611421
3.1506531,4.5118837,10.058615,0.41531962,0.10559425,1.2800473
4.231014,4.7370586,12.618782,1.152482,-0.12556794,1.1596725
2.7757607,4.8185053,8.626119,0.8424903,0.0981374,0.93916297
4.000449,1.4810046,7.136131,-0.18975006,-0.31731537,0.64728075
4.0681214,0.15031628,6.706142,0.19374481,0.7106639,-0.06325002
2.5835235,5.972527,11.319834,-0.22170797,1.4701968,-0.3679154
5.5617023,3.9854774,19.003332,9.321056E-4,-2.078196,-0.7535408
2.3002582,6.623498,12.585245,0.89894927,-1.1929619,0.08162582
-0.2503275,4.952652,5.411985,0.77431345,-1.0502167,0.35326803
-0.85997677,4.813714,4.9682226,-1.5149379,-0.30879328,0.46831647
-1.1432421,2.0175917,4.175319,-1.8696706,0.9972198,0.26378587
-1.7630723,0.28865516,3.7692854,2.3317287,2.945587,0.64941126
-4.1980762,7.0636673,11.4965,3.1274805,2.3746057,0.9370324
11.238986,7.700865,34.614666,3.4172323,0.42304277,0.8677903
3.486619,-0.2425422,12.055245,3.5184324,4.2995367,0.97112083
-0.15390949,-0.4341805,-0.41381893,3.04439,1.1463567,2.810831
1.9403377,-1.5786203,1.1240783,3.0614343,0.18335849,3.8132439
0.07186436,2.1325748,-1.7127671,1.5935011,1.0813756,1.4952306
2.1894674,0.17906202,1.9834563,-1.5724621,1.0760493,0.46085963
5.278437,4.578957,3.69802,-2.833734,1.0323735,-0.57670707
12.377438,12.981697,14.304001,-1.802559,-5.037498,0.33515853
18.476925,11.186286,21.391024,0.23635535,-4.240681,-0.049401596
1.5894,9.438785,4.165737,-1.0930935,0.5828323,-0.5703155
-1.8307445,5.608414,-0.73840624,-1.4254558,-1.0065409,-0.5980123
-1.5612532,3.7171838,1.2336714,0.5175849,-2.7056363,-0.948484
-1.2157054,3.1614327,1.7157615,-0.87684506,-0.60706705,-1.069924
1.9589026,4.9861884,3.931579,-1.4584789,1.2230557,-1.5311831
14.183029,23.601452,27.068907,-1.3796494,3.1980543,-3.5892723
8.880638,19.196766,24.605158,5.571195,3.2225554,-3.248388
6.0611596,0.5425759,5.082607,5.2697253,3.1820753,-2.1138823
0.7342142,-4.5609913,-3.3698394,2.4552994,1.9634138,0.27550378
-0.7929034,-5.623985,-5.838979,1.3197284,1.0430261,1.8435717
0.9551971,-4.4897256,-3.7046075,0.013715268,-0.76685655,2.7554374
2.5116591,-4.202268,-0.58090353,-1.8526264,-0.66459125,2.7873952
7.45413,0.5713216,2.6326308,-4.975979,0.9450219,2.9269447
19.0728,14.102182,11.845042,-5.30408,-1.4038842,1.7828517
26.080772,17.061197,26.782648,-3.5623744,-2.9463859,0.648346
6.354007,10.061009,10.961111,-2.5887234,2.0177422,-0.73969233
-1.7055807,4.39211,2.394281,-2.1498349,-0.5175849,-1.0624672
-2.1331737,1.4043493,3.6501105,-0.36232275,-0.19267954,-1.0028125
-2.6517947,0.8156604,1.1570162,0.41958067,0.38043225,-0.7471492
