Accelerometer.z,Accelerometer.y,Accelerometer.x,Gyro.z,Gyro.y,Gyro.x
1.080902555,-0.4414817845,-1.26171008,-1.159094214,-0.4541231096,0.456668973
1.519689109,-0.2925077592,-0.9667577045,-1.542085171,-1.279371381,0.7074629664
1.367259244,-0.1265390522,-0.7015171608,-1.891137123,-2.048212528,1.006268859
0.6550339343,-0.01848170537,-0.6142100487,-2.192159891,-2.542705536,1.330759883
-0.7244657824,0.1217732991,-0.6853536692,-2.418011189,-2.855060816,1.57086134
-1.309029758,0.5655027164,-0.752265059,-2.541821241,-2.957342148,1.52198267
-1.041628529,1.198288432,-0.5394494068,-2.512188196,-2.935576439,1.22318244
-0.1858703621,2.40480591,-0.2487355452,-2.295163393,-2.772408009,0.9140933752
0.1522194369,3.794520878,-0.1614062214,-2.002056837,-2.303917885,0.6332819462
-0.5850830307,3.993078287,0.01456891584,-1.697639823,-1.695695996,0.4096764922
-0.8591828804,3.399837669,0.2336233163,-1.429736972,-1.139248133,0.2476308495
-0.5176110845,2.502399585,0.2791584483,-1.218298674,-0.7816854119,0.1098138019
0.4096890544,1.456072523,0.2849590974,-1.059758902,-0.6732161641,-0.03254547343
1.287284959,0.4698277351,0.4093409716,-0.9284353852,-0.7833794951,-0.1833333224
1.580832436,-0.3218627408,0.9072343792,-0.7559669018,-1.305585742,-0.2056466192
2.057532249,-0.5199111781,1.730498536,-0.4671362638,-1.883261442,-0.06653212756
1.603823436,-0.05410670711,1.879367639,-0.08955410123,-2.475498915,0.1800715178
1.425541921,0.3243313228,1.604922045,0.3321368396,-2.974137783,0.4852994084
1.145313944,0.4861269819,1.160289541,0.7484222054,-2.565679312,0.9380383492
-3.290546104,0.6118173084,0.3229652221,1.070937395,-2.486734629,1.352610111
-2.381154547,1.256919193,-0.326279169,1.267831087,-2.578590393,1.609261036
1.352522278,2.180719653,-1.663508528,1.295650244,-2.727412701,1.803932071
1.131931316,2.304697038,-1.028424033,1.334370971,-2.775120258,1.92685318
2.106932532,2.437934711,-0.2741355786,1.360769153,-3.020370483,1.905120254
3.184379978,2.166298037,-0.5671846782,1.408070564,-3.556165457,1.724273682
4.410898041,2.146782312,-1.217375264,1.549587846,-4.178772926,1.517071962
5.358147328,2.585152394,-1.27196274,1.715088964,-4.663961411,1.293956041
5.948267768,2.430259939,-0.8050995542,1.808100939,-4.956109524,1.048669577
5.413172465,1.402648245,0.1506800986,1.833482981,-5.108255386,0.83050102
4.413468184,0.6298913097,0.8256140806,1.757515788,-5.135531425,0.6592600346
3.812743347,1.175825987,0.1758905277,1.610061646,-5.064342499,0.5967825651
3.407632853,2.307117251,-0.3306380218,1.503971219,-4.934076786,0.6627899408
2.915494648,2.859864238,0.433584017,1.444373369,-4.682901859,0.8528723121
2.003268744,2.921508501,0.7103010635,1.511348486,-4.625412941,1.113534927
1.694264754,3.292997297,0.1588391473,1.766668677,-4.637387276,1.40195024
1.318636959,4.536958955,-0.2806979328,2.102694511,-4.548289776,1.799197912
0.138723411,5.523834733,-0.1866477762,2.408998728,-4.371819496,2.254289865
-0.8755091613,5.547689072,0.3108399731,2.604918003,-4.197696209,2.671132326
-1.235017596,5.105175606,0.9676683896,2.751788139,-4.080388069,3.030358791
-0.9888812735,5.245145218,1.390791511,2.922291994,-4.003796101,3.328984976
-0.5537228468,5.643514421,1.6849843,3.152416945,-3.919711351,3.539830208
-0.4828180035,5.687379866,1.894765699,3.421178818,-3.800804615,3.56870842
-0.5721890623,5.394881021,1.417906897,3.635661364,-3.499664307,3.331544399
-0.8521189334,4.825881403,0.6359568934,3.776835442,-2.828576088,2.997083902
-1.867637162,4.339292941,-0.2264958025,3.891395092,-1.947363973,2.662586927
-2.794904567,3.926199923,-0.8122124549,4.067397118,-1.164777756,2.376846075
