accelerator z,accelerator y,accelerator x,gyro z,gyro y,gyro x
1.231978667,1.300572603,0.1778155774,0.2087150514,0.2950725853,0.4365729094
1.525069048,0.8424374973,0.0002077244665,0.2611867785,0.196755141,0.6365843415
1.795967471,0.3543874384,-0.1106695021,0.2567579448,0.2387194932,0.6797107458
1.559874989,0.01663783107,-0.006730258103,0.203967452,0.190066129,0.5499846935
1.463994109,-0.1496875804,0.01093494325,0.1387529075,0.1552064568,0.318287164
1.291209439,-0.3058925798,0.06211217278,0.16759184,0.0733640641,0.03860759363
1.208895313,-0.3295493498,0.0900662015,0.276781708,-0.02466263622,-0.1968038529
0.9374170437,-0.2792471495,0.1035090359,0.3792821467,-0.1824366003,-0.4009697139
0.4919388831,-0.1369558168,0.04220014235,0.414478749,-0.3706947267,-0.6001421213
0.4235293637,0.06150602358,-0.1464309167,0.4086705148,-0.3846440911,-0.6650255322
0.6029764148,0.1782671937,-0.3123991852,0.4111939967,-0.196520254,-0.5238881111
0.876595203,0.1438783096,-0.2962134819,0.4770522416,0.02927741595,-0.2148915529
0.8509025433,-0.06904431013,-0.06637918258,0.5353893042,0.06227855757,0.06973213702
0.8332166645,-0.4512573286,-0.08058167626,0.5266372561,0.04613475129,0.1721256375
1.072670733,-0.7982093563,-0.2522244833,0.4952387214,0.1703131795,0.1747236252
1.371658356,-1.037436338,-0.2582370947,0.4847365022,0.3128505945,0.1648712158
1.57103468,-1.235122225,-0.1629506013,0.4988836348,0.3740305901,0.1842730194
1.549209802,-1.556011591,-0.2070594268,0.4567379057,0.3944145739,0.1599659175
1.147124209,-1.965913704,-0.3980597722,0.3058767617,0.3540614843,0.04498284683
0.8988006051,-2.138907341,-0.5969597848,0.1183810607,0.306545943,-0.09681300819
0.8674819222,-2.134928208,-0.7287542734,-0.001925154589,0.3266270757,-0.1416884214
0.7069476614,-2.022036573,-0.7080552573,-0.05924045667,0.3443948627,-0.06728468835
0.5342255346,-1.953443514,-0.5731817266,-0.1283932179,0.2991475165,0.09113332629
-0.01026303534,-1.922694447,-0.2874132856,-0.2178624719,0.1870482266,0.2003946751
0.06576806494,-2.07688723,0.01370663645,-0.2585787475,0.3372116387,0.3849981427
