x.accelerometer,y.accelerometer,z.accelerometer,gyro.x,gyro.y,gyro.z
0.7365024033,0.4427534119,-1.268458093,0.3278192282,-0.09659991413,0.1867634356
-0.2502474842,-0.188824828,1.33100895,0.4852289259,0.1180121526,-0.2524654865
-0.2525912708,-0.855398978,0.07651099275,-0.6212792397,0.1894466877,-0.2686269581
0.7515789764,-0.7895175158,-0.1010860466,0.1480467916,-0.1952453554,-0.2386502028
-0.2968940845,1.274478669,0.4318663994,0.4542512894,-0.01211415883,-0.332413584
-1.768457826,0.1347688282,-0.03660860595,-1.520417213,-0.329328984,0.2246120572
1.803382424,-0.04425473679,0.02118131972,0.722409606,-0.2613020837,0.2312851846
-2.281199843,-0.4599418626,1.580557711,-0.1619789302,0.04425916821,0.05392677337
1.295400022,1.45843969,0.5919499939,-0.242680952,-0.1183794364,-0.03543531522
0.2921160565,-0.07943038733,-1.05783206,0.01581878215,0.5092849135,0.03249679878
0.2179860771,-0.9398214745,1.620401646,0.7926695347,0.3475669324,0.2393981963
0.2439757835,-2.176530385,2.511448568,-0.6106114984,-0.6892657876,-0.187533617
0.2623985983,1.381604288,-1.658964893,0.7355747223,-0.2281365544,0.03920310363
-0.2171060429,-1.319216805,0.7739999209,-0.4574480057,0.2407005429,0.6264472008
-0.3847285084,-1.594519601,-2.012153477,-0.1768707484,-0.4304307103,0.07656273991
-0.2874330863,-1.009837552,1.386558403,0.5109546185,0.1512284577,0.1145485193
0.9177508047,-0.7097562891,1.100332647,0.7032557726,-0.05583456531,0.3573894799
-0.7736155978,-0.4054395803,0.6209422796,-0.385584712,-0.4027807415,0.0900426805
0.4228601592,0.4242448185,1.240797348,-0.387486428,0.3810768425,0.1640146077
0.4014266914,0.07186988895,0.6952046166,-0.273255229,0.3174915314,0.2088339776
0.3070819357,-0.625706133,0.6086217272,0.2909591198,-0.5769864917,0.1717321426
0.005103460619,-1.148396128,0.1716921992,-0.6419057846,-0.2165998518,-0.1493479162
-0.397938557,-0.8674439283,-1.620060285,0.6272311807,-0.07207997888,-0.3711289763
-3.021692338,1.707604713,-2.856941337,-0.4073768258,-0.6626999378,-1.156742096
0.8648299464,0.6282353592,3.046429305,0.6893522143,-0.1015298218,-0.3435608447
0.08178893315,-0.5123135626,-0.5875199025,-0.8077787161,0.08080762625,-0.2891328037
0.8259508382,-0.1585550697,1.407017254,0.4568544924,-0.2506482601,0.2380737364
1.287826518,-0.6299333953,-1.509775617,0.7055094838,0.05021276698,0.2914167047
-2.093002937,0.5657312645,-2.155619699,-1.036521316,-0.02527359687,0.09526390582
0.006870762552,0.5356985298,0.4074573498,-0.1299647689,-0.006891292986,0.3648153841
-0.1164637946,0.3770224641,0.8658435074,0.1228243262,0.5692617893,0.103800334
0.4996951963,-0.04573474621,1.151993276,-0.1429131627,-0.1617771238,0.2252011448
-0.3151920308,-0.5655331116,-0.6945727485,-0.03327520192,-0.1950125247,-0.04112024978
0.1225577275,-2.241597608,0.06855155818,-0.06052758545,-0.2077982426,-0.02950733341
0.6654312635,2.634223884,-1.140284133,0.5085015297,0.4286252856,-0.3238085806
1.720399605,-0.3884019362,2.233162372,-0.0499092564,0.01429215353,-0.1279021055
-0.4713634933,0.2400245616,-0.8365648059,-0.09824925661,0.5565423369,-0.1629718691
-0.1074294973,-0.04772562777,0.8264964164,0.4496612251,-0.2440813035,0.1623975337
1.0434442,-2.980995586,-0.6543202331,0.4253692329,0.4352096319,0.1055314243
-0.7478243001,2.713136092,-4.630962349,-0.01468391903,0.8309975863,-0.2529518008
1.237030397,0.1959691468,2.705022344,-0.1993885189,0.02382910997,-0.204689458
-0.2351706553,0.7355886495,0.2263146007,-0.6815965176,0.5639773011,0.07297158241
-0.3790690213,-0.02573942141,0.4601280328,-0.9076952934,-0.2839952409,0.1691191345
-1.022320017,-1.160834462,-1.225786826,0.04448888451,-0.2664473951,-0.06927155703
-1.637221263,-1.096286586,1.891701636,-1.801513553,-1.292193294,-0.8738099337
-0.2989882438,1.163180733,0.9944698873,0.6961869597,-0.321064651,-0.8528172374
0.6356222546,0.05182341848,1.269808923,-0.7694655657,-0.408945322,-0.5446094871
2.20833992,-0.1541968745,-0.02003565681,0.1222821772,-0.2108353078,0.2096005827
-0.06023757455,-0.8176093455,-1.006795116,0.6977908015,0.1022800654,0.2807298303
-0.1780483815,-2.566935477,0.7110738014,-0.335103035,0.3925629854,0.1552790254
1.207412819,3.166552353,-0.489027964,1.439916492,0.138865605,0.2913613319
0.5705201427,0.5760203111,2.404216274,-1.038986206,0.1048670262,0.8701166511
0.6374310576,0.5715493031,-0.5916694234,0.4043241739,0.108709909,0.3778880835
-1.318368079,-0.6271466872,-0.321664734,0.984382987,-0.1329734176,0.2701022923
-0.9307841085,-0.6984487131,1.709515515,0.08970473707,0.03576736525,-0.1884759814
-5.379250906,1.845651248,-3.847051275,-1.68674469,-0.6363597512,-0.8017106652
0.636945393,1.004018637,1.879208649,0.6292892098,0.2118762583,-0.5139946938
-0.4146230402,0.3432052424,1.153379177,-1.138870001,-0.1897688359,-0.5306527615
0.7044000958,0.04816138884,-0.3195177851,0.3467878401,-0.08887653798,0.3493442535
0.4020298449,-0.9351166578,-0.9904261648,-0.1063812822,0.01202401333,0.1757874191
-0.577197319,0.7897662299,-3.395437973,-0.7435538173,-0.5423663855,-0.1064993739
0.4945519151,1.490233297,2.595761174,1.056432605,0.7914506197,0.4061320424
-0.138889671,0.812480166,0.06041384443,-0.4785058796,-0.08855037391,0.3698722124
-0.384425653,0.4300105424,0.1226858839,0.5520936251,0.07958774269,-0.06390178949
-0.2812197282,-0.9728411161,0.5225146386,0.2398492545,0.278488636,0.2126777917
0.006961947967,-0.892924991,-1.380543088,0.4816885889,-0.2873533666,0.1847004145
-1.740241639,1.550541928,-1.008302598,-0.7057234645,-0.5267783403,-0.712238431
-1.140887944,2.230024074,1.336755384,0.6830891371,0.8207198381,-0.3176029921
-0.2338325751,-1.268688395,3.541745555,-2.259741306,-1.347130299,-0.285705477
1.603665615,-0.0493874235,-0.2150695686,-0.2780029774,-0.5962679386,-0.2064288855
0.4358476876,-0.6234262054,-0.8912444906,0.2567089796,0.5147461295,0.4514971673
