accelerometer.x,accelerometer.y,accelerometer.z,gyroscope.x,gyroscope.y,gyroscope.z
-1.2024878,4.915296,8.2115135,-0.09613728,-0.053394806,0.23115556
-0.6853402,4.7524905,8.734048,-0.09187635,-0.3761604,-0.12676273
-0.57041854,4.24492,9.630077,-0.08122402,0.07762886,-0.16617635
-0.19632454,3.952827,10.118495,0.15206201,0.07762886,-0.1576545
-0.5602432,3.7223852,9.126697,0.22982402,0.1756303,-0.24606884
-0.39264908,3.7128084,8.532935,0.33741257,-0.23022349,-0.12995844
-0.047884032,4.144363,8.19236,0.33102116,-0.447531,-0.060718283
0.40222588,4.3119574,8.566454,0.086017564,-0.4177045,-0.27163443
-0.272939,3.5978866,8.930372,-0.10998531,0.050998032,-0.5358122
-0.95827925,3.9671922,8.197148,-0.16324696,0.24273998,-0.4740287
-1.2120646,3.8708255,8.034343,-0.08548495,-0.031024912,-0.33341792
-1.0875661,4.5322237,7.8954787,0.046603944,-0.26750663,-0.12782796
-0.84814596,5.0158525,7.852383,-0.22503048,-0.28135467,-0.14274122
-0.76195467,4.924873,8.480263,-0.42742476,-0.32929015,-0.07350108
0.01436521,5.0643353,9.241618,-0.22822617,-0.24513675,0.0117175635
-0.04309563,5.121796,8.432379,0.03062545,0.023301972,-0.03515269
-0.29209262,5.227141,7.713519,0.040212546,0.02223674,-0.050065953
-0.29209262,5.1984105,8.000824,-0.030092834,0.040345702,-0.120371334
-0.6997054,5.035006,8.3072815,-0.09613728,0.14793424,-0.18215485
-0.98222125,4.757279,8.398261,-0.08228925,0.20332636,-0.083088174
-0.9343372,4.584896,8.710106,0.09880036,9.32E-04,0.057522584
-0.7667431,4.3837833,9.404425,0.32889068,0.08615072,0.2386122
-0.84335756,4.948815,9.160215,0.3193036,0.3503285,0.3067871
-0.9295488,4.96318,9.030929,0.25325915,0.3822855,0.33341792
-0.4357447,4.4843397,8.7771435,0.37789142,0.047802333,0.4356803
0.17717093,4.7907977,8.949526,0.40239176,-0.23022349,0.35898352
-0.23942018,5.3564277,9.385271,-0.030092834,-0.27496326,-0.07030538
-1.7202339,3.9480386,11.23958,-0.3773588,0.11278155,-0.17576344
-1.5376761,3.6409822,10.66976,0.30545557,0.93194574,0.5251599
-1.3365631,5.2798133,6.956353,0.66976523,0.5271572,0.6274223
-1.4993688,4.235343,8.576031,0.8327459,-0.48587942,0.052196417
-1.9500773,2.9706059,8.968679,0.54300255,-0.67762136,-0.023435127
-0.89603,3.2004492,10.578181,0.008255556,0.14154284,0.11717563
-0.6997054,3.8133647,8.494628,0.03808208,0.91490203,-0.08841434
-1.7058687,4.4316673,5.945401,-0.11957241,0.6272891,-0.29933047
-2.2278047,3.482965,7.1287355,-0.080158785,-0.1758966,-0.3707011
-2.3092074,3.3249476,7.387908,-0.13768137,0.18415216,-0.069240145
-1.9213469,4.5178585,7.123947,-0.5595136,0.2725665,-0.02130466
-1.9979613,4.3167458,7.814076,-0.45405558,9.32E-04,-0.028761292
-2.007538,4.608838,8.7053175,-0.24313943,0.12236864,0.14700216
-1.7776948,5.763442,8.461109,-0.31451005,0.37695932,0.038348388
-2.2709002,5.5192337,8.719683,-0.300662,0.3567199,-0.049000718
-2.2852654,5.6628857,8.125322,0.15419248,-0.0022636203,0.092675276
-2.3187842,5.653309,8.139688,0.27882475,-0.25259337,0.004260932
-2.6635494,5.035006,8.628703,0.26071578,-0.30905074,0.111849464
-1.4754268,5.0062757,8.710106,0.2639115,-0.6083812,0.12356703
-0.545878,4.2784386,10.722432,-0.17070359,-0.51890165,0.14593692
-0.1388637,4.4316673,10.8948145,-0.3869459,0.5804188,0.026630826
-1.1881226,4.331111,9.519346,0.11158316,0.5814841,-0.13421936
-1.5185224,3.3393128,8.206725,0.6740262,-0.44113964,-0.1448717
-0.6087258,3.056797,8.2833395,0.5824162,-0.49653175,-0.3387441
-0.8146271,2.9753942,7.675212,0.11051793,-0.23448442,-0.42396274
-0.9295488,2.8269536,7.8811135,-0.1898778,0.18734786,-0.27056918
-1.4706384,3.1669302,6.9228344,7.99E-04,0.09999875,-0.07350108
-1.441908,3.4877534,6.084265,-0.035419,-0.09600413,0.061783515
-1.9452889,4.144363,6.587646,-0.5904054,-0.100265056,0.015978495
