lsm6ds3c_accelerometer.x,lsm6ds3c_accelerometer.y,lsm6ds3c_accelerometer.z,lsm6ds3c_gyroscope.x,lsm6ds3c_gyroscope.y,lsm6ds3c_gyroscope.z
7.0247293,-5.877371,8.258229,-0.5868715,2.142394,1.5820944
1.8969102,-3.132803,-2.0691934,-0.013896775,-0.3633014,-1.4564126
-11.120045,-7.6552377,-3.2871401,0.45523393,0.20967332,-0.6012264
-4.604389,-4.2454658,1.3740784,-1.5581187,-0.44515494,-0.5242597
-12.589238,-6.2147584,0.7615158,0.44912544,0.19012621,-1.210852
-3.8985064,-3.498905,6.193223,0.91214764,-0.5428905,-1.874232
-1.4099708,-24.96731,1.3764713,0.3892624,0.14248012,-0.82357484
-6.4588265,-6.6239314,1.1611172,-0.5441122,1.394717,0.23700874
-2.9126635,-6.626324,-0.18843478,-0.55632913,1.9994558,0.5546493
-3.6448672,-6.4923263,-3.8805602,-0.19104248,0.94269,-3.0678277
-0.60358953,-7.19103,-0.5593223,-0.6100837,0.033749312,-2.4203296
-1.4195421,-9.189037,-0.8321041,-0.32176378,0.11560284,-0.26159534
0.3056831,-2.8983064,-0.65024954,-0.6797203,-0.37185326,0.03283304
-0.4959125,-5.590232,-1.5332011,-2.8628883,2.870524,-3.0287335
-9.239286,-18.901505,-4.7371907,2.1839316,-1.1378558,-1.5248275
4.581657,-9.055039,-0.2650051,4.1876636,-0.33642414,0.90527564
0.7603194,-16.221542,-0.4444668,3.729528,-2.771414,0.39582902
-1.6253247,-13.17548,0.14416756,1.0392039,0.88893545,2.0084658
4.3447676,-9.136395,2.0727825,2.2230258,-1.7769547,1.3817365
1.6002002,-4.819743,0.048454657,1.6879237,-0.6320742,0.47890425
1.5643078,-4.0707893,0.10827523,0.30618718,-0.32542887,-0.16263808
1.6767704,-2.1996021,-0.20518455,-0.84220564,-0.9631534,-0.36666107
-1.4530416,-8.327621,8.332407,-2.5941155,-0.09575031,-0.16263808
-4.006183,-24.244677,13.067802,1.0575293,-0.2716743,-0.27259058
4.246662,-2.7260232,0.7328019,0.8400677,-0.73713994,0.8331957
4.246662,-16.568502,1.8191434,-0.75668705,0.08383878,-0.22250111
2.4999015,-5.035097,-5.4837513,-0.20692451,0.15836215,0.2895416
0.76510507,-6.7651076,-5.4311094,-2.392536,1.7074708,-0.85778224
-3.3314073,-14.654244,2.0057836,-1.6020997,0.17302248,0.2736596
5.163113,-5.8797636,-0.3056831,-1.9148535,0.82296395,0.3555131
0.20039889,-9.602996,-1.8394824,-1.5959911,1.0196568,-0.61099994
-1.2161521,-9.131609,0.019740786,-1.4005201,0.89748734,-0.11010522
-0.19202402,-9.930812,0.3786642,-0.93383276,0.5248705,-0.2664821
-0.90508515,-9.067003,0.49351966,-0.88129985,0.38437563,-0.2053974
2.3802602,-9.619745,-0.36789647,-0.60031015,0.42835665,-0.39720342
-0.43848476,-10.138988,-0.99003035,-0.5404471,0.5089885,-0.27625567
