accelerometer.z,accelerometer.y,accelerometer.x,gyro.z,gyro.y,gyro.x
-0.8181465212,0.3689408644,-0.2776403719,-1.472827315,-0.5488139391,0.2469285429
-0.6870622267,0.4386939073,-0.4483769508,-1.456392765,-0.4678560793,0.1897352785
-0.5432891311,0.4514207024,-0.565371199,-1.425410509,-0.4241517186,0.1154956669
-0.4435895704,0.4353600867,-0.6260190714,-1.388323069,-0.392678231,0.01954446919
-0.2818020947,0.4110641421,-0.6588499854,-1.360627532,-0.3450742364,-0.07082431018
-0.05556231275,0.3776005562,-0.6702039578,-1.358364105,-0.2923844755,-0.1443719417
0.1651198351,0.3825277835,-0.6463014695,-1.389148712,-0.2651030421,-0.1936244369
0.1763648672,0.4298384007,-0.5618388236,-1.434450269,-0.2649210989,-0.2126019895
0.1059948614,0.5005497673,-0.4662798334,-1.465559721,-0.2787184119,-0.1867429614
0.03339958078,0.4762500233,-0.3481970228,-1.48460722,-0.3019522429,-0.1263385266
0.009286883783,0.3728244279,-0.1899327162,-1.491139412,-0.342463702,-0.04838326946
-0.02029460001,0.2315855269,-0.009590908231,-1.505296826,-0.4461805224,0.02648208104
-0.199179341,0.0958519453,0.1414244502,-1.523452759,-0.5910474658,0.08793399483
-0.436555434,0.02034896055,0.2195504404,-1.541977406,-0.7404015064,0.1624661237
-0.6719400609,-0.02303191602,0.1678968255,-1.558299303,-0.8214817047,0.2471447885
-0.7165151157,0.02628945651,0.04866751173,-1.575068712,-0.8268902302,0.3424166143
-0.6210615221,0.127546768,-0.1578806776,-1.59086287,-0.7796584964,0.4322958887
-0.57427639,0.2541390117,-0.3730122055,-1.607975483,-0.7207731605,0.4875252545
-0.5365571925,0.365705828,-0.582873538,-1.622711897,-0.6545352936,0.5085056424
-0.4858972648,0.4305351508,-0.7253970719,-1.62998414,-0.55813694,0.4943667352
-0.2273503735,0.4487766177,-0.7698483542,-1.643830895,-0.4604937434,0.4479949772
0.0404419005,0.4400377232,-0.7322606741,-1.650194287,-0.3773013651,0.3913834691
0.1930132196,0.40227644,-0.6734618636,-1.643033862,-0.339184612,0.3217772245
0.149644618,0.3480015368,-0.5920411793,-1.635101795,-0.3324924111,0.2536185682
0.1264730013,0.2932324202,-0.4890292792,-1.62773037,-0.3636447191,0.1884786934
0.07178980945,0.360712842,-0.3451137064,-1.627255559,-0.425550878,0.1259032041
-0.08628945944,0.4920557874,-0.1562630132,-1.633486748,-0.479829818,0.07777962834
-0.1292956575,0.6311614758,-0.04656568061,-1.640314102,-0.5115668178,0.0493074283
-0.1136515136,0.7300070499,-0.01461933085,-1.646391153,-0.503667891,0.01389031298
-0.09669511812,0.7493880422,-0.049280456,-1.632724524,-0.4404418468,-0.02608987316
-0.006551905861,0.6636436495,-0.1759647985,-1.615098953,-0.3210233152,-0.06529959291
0.1018494321,0.6025894613,-0.3055383596,-1.598109841,-0.1793900728,-0.1063081548
0.2230991458,0.5967831131,-0.4149898277,-1.596277595,-0.0620559752,-0.1488715857
0.2570896782,0.6589744886,-0.4390377889,-1.59628129,0.008477934636,-0.1814011037
0.2250304061,0.7082876778,-0.3478529951,-1.590656161,0.03671276942,-0.183028847
0.3018406741,0.740143244,-0.2000122117,-1.58046639,0.01086349413,-0.1631651372
0.4021054674,0.7687716649,-0.01968019444,-1.564656019,-0.05940267816,-0.1234142557
0.4907645786,0.7723837179,0.1841414925,-1.53932631,-0.1717371792,-0.08572757244
0.5567617761,0.7263400519,0.4292332744,-1.516272068,-0.3165945113,-0.05928184837
0.5411053573,0.6291168182,0.6516765136,-1.500778437,-0.4587186277,-0.05202137306
0.5341968931,0.4804255554,0.768379743,-1.484948277,-0.5561927557,-0.04683566839
0.5556915165,0.2976370849,0.7637558825,-1.473356962,-0.5923627615,-0.05108767748
0.5868424416,0.1816495296,0.6408617627,-1.47986567,-0.5800501704,-0.0605679974
0.5458201108,0.1565256097,0.4688569904,-1.488890529,-0.561111033,-0.07566448301
0.371278952,0.1649175905,0.278323751,-1.50922513,-0.5105674267,-0.06360569596
0.0528881251,0.1587427012,0.05563442813,-1.539864063,-0.4213513732,-0.02862428688
-0.2024842278,0.1518836291,-0.1329704005,-1.57161808,-0.330830276,0.02952849865
-0.3719821318,0.2441688218,-0.1038375372,-1.597053051,-0.2625938654,0.1047677621
-0.5302917023,0.4151119562,0.06573927724,-1.594028234,-0.2244805843,0.1697419733
-0.5193552978,0.5657490924,0.105101785,-1.565381885,-0.211574927,0.2110820413
-0.4368827663,0.6155053492,0.1756160216,-1.505386114,-0.221971646,0.2235935628
-0.2610720259,0.5453937021,0.2819670029,-1.437858701,-0.2794983983,0.2088276446
-0.1209972002,0.3793839325,0.4520722252,-1.37823689,-0.3920350671,0.1788875908
-0.08159516415,0.1455892052,0.7047866109,-1.336398363,-0.5401927233,0.146189481
-0.01232522857,-0.05450725074,0.8808627973,-1.314927936,-0.6534087062,0.1241283938
0.03372457495,-0.2025777513,0.8823142382,-1.316114306,-0.7210999727,0.1208890751
-0.05739478887,-0.2458440616,0.6745140761,-1.338713288,-0.7167063355,0.1363191605
-0.09160860864,-0.106230716,0.3731777713,-1.370486617,-0.6764417291,0.1848044246
-0.1272825641,0.06888619696,0.09392908748,-1.407299995,-0.6145189404,0.2427316308
-0.1240384676,0.2546495916,-0.005756883026,-1.442920089,-0.5351595879,0.2778732181
-0.1058475619,0.3283347133,0.0190062407,-1.468788385,-0.4808821976,0.2760817111
-0.1207967092,0.2639709622,0.105257414,-1.466365576,-0.4686502516,0.2360004783
-0.1414297474,0.1119979012,0.2001171333,-1.447259784,-0.498839587,0.1617550105
-0.1686316426,-0.0767366182,0.2486711017,-1.42183435,-0.5697353482,0.07015728951
-0.258379718,-0.2126353272,0.2494752577,-1.404820442,-0.6318570375,-0.01892917976
-0.3382406057,-0.2059571646,0.2289743215,-1.39975369,-0.6419146657,-0.07832775265
-0.35150633,-0.08014028916,0.1197004749,-1.405981779,-0.6041619182,-0.0983704403
-0.3298556392,0.1138584344,-0.02149433119,-1.410288692,-0.5521716475,-0.07348403335
-0.3238292185,0.3314893779,-0.1296353378,-1.40899384,-0.4953552485,-0.02086156607
-0.2806716293,0.5047258839,-0.1954247743,-1.390150905,-0.4426909983,0.05246710032
-0.1917097358,0.5519836019,-0.2430775195,-1.354547381,-0.4002481997,0.1247887015
-0.03668810093,0.4915151047,-0.2463376903,-1.308607817,-0.3886503875,0.1871650517
0.08956979629,0.3698983113,-0.1178415857,-1.271384597,-0.4043574631,0.2436775863
0.1280173081,0.2125368353,0.1131743611,-1.243109941,-0.4251139164,0.3070521653
0.1822264527,0.1155564705,0.318718561,-1.229184747,-0.4813511074,0.3527389467
0.1821972266,0.08252484621,0.434985189,-1.22527504,-0.5558680296,0.3817387819
0.129776719,0.1012049968,0.4857694006,-1.221287966,-0.636675477,0.3871854842
0.09394377359,0.06856324862,0.4211797318,-1.215159416,-0.6909095049,0.3772005141
0.08642389948,-0.008841478103,0.3002713059,-1.226603866,-0.7178120017,0.346116364
0.1002671314,-0.04638415003,0.1861868077,-1.259970665,-0.7185117602,0.2839403749
0.08904606467,-0.06287088219,0.001709288136,-1.311498284,-0.7094621062,0.195009172
-0.01172375554,-0.05863485206,-0.2446744698,-1.376587749,-0.6913869977,0.09213654697
-0.1704249557,0.00979015713,-0.4163591067,-1.449577808,-0.6664275527,-0.006285899319
-0.3311234672,0.1059638817,-0.5552739852,-1.519918919,-0.6317238212,-0.09480924904
-0.4672083464,0.2676940743,-0.587145297,-1.571871281,-0.5675797462,-0.1639856547
-0.4777992985,0.4579977427,-0.5814487293,-1.602245808,-0.4927861989,-0.2020115852
-0.5100917949,0.6364645506,-0.5382610738,-1.603014588,-0.4066846073,-0.199111402
-0.5650257466,0.8219149338,-0.4170221007,-1.57526958,-0.3465698659,-0.1599152237
-0.6397159536,1.009539154,-0.2414345746,-1.530633211,-0.3458598852,-0.09436390549
-0.7494932562,1.243209378,-0.04341437698,-1.469467878,-0.3828827739,-0.02346770279
-0.789982503,1.425099146,0.06531469515,-1.401302934,-0.4215976894,0.04742085189
-0.7087053187,1.538760012,0.09500405976,-1.328978777,-0.456217587,0.1136027575
-0.5659539673,1.542849035,0.08780249435,-1.261453509,-0.4880501032,0.1667200476
-0.4404413355,1.490230667,0.09681604109,-1.209966183,-0.5357508659,0.1923306584
-0.3885732011,1.42030782,0.1089879423,-1.169389963,-0.5818376541,0.1956995577
-0.2884527847,1.311672966,0.1016007911,-1.142255545,-0.636238575,0.1865659803
-0.2651940742,1.213405191,0.02457253306,-1.120630145,-0.6779047847,0.1716261804
-0.2243377477,1.152532205,-0.1016572706,-1.114142179,-0.714892447,0.1450060308
-0.1988999396,1.141850067,-0.1929431501,-1.121232271,-0.7327561378,0.1175781339
-0.1784597936,1.131022676,-0.2830000906,-1.117393494,-0.7169095874,0.09677293152
-0.08909691808,1.11474228,-0.4050957353,-1.123191237,-0.687508285,0.07764398307
0.007214753684,1.132531912,-0.5433720236,-1.139145017,-0.6851093769,0.05768771097
-0.06231003344,1.191857961,-0.6780253722,-1.170436382,-0.7135287523,0.02959162742
-0.1886374888,1.211038462,-0.782340756,-1.218185306,-0.7546752095,-0.01082358044
-0.3018073563,1.163984742,-0.8489796125,-1.258185983,-0.7609884739,-0.06206972152
-0.2531429864,1.083156179,-0.8571734403,-1.293551564,-0.7485218048,-0.1020025089
-0.215132697,1.05047819,-0.8531815942,-1.327638626,-0.7334342003,-0.1332325935
-0.2962082212,1.119267649,-0.8772006946,-1.360870838,-0.7084240913,-0.1597680449
-0.3660369597,1.229511108,-0.8909836477,-1.38179481,-0.648547709,-0.1679721922
-0.2890671172,1.332217449,-0.8693157866,-1.377968192,-0.5818068385,-0.1636080593
-0.1922182699,1.356949447,-0.8438936144,-1.35597074,-0.5375667214,-0.1521535367
-0.1509679756,1.336991531,-0.759027758,-1.316947579,-0.557774663,-0.1437313259
-0.273039527,1.318826929,-0.5653356162,-1.26102829,-0.6153101325,-0.1171180904
-0.3524333817,1.264306527,-0.3837004075,-1.205914259,-0.6832373142,-0.0870763883
-0.393362189,1.204104571,-0.3336764396,-1.162485361,-0.7168200016,-0.06436255574
-0.3891156374,1.158578792,-0.3934546896,-1.146968484,-0.7305212617,-0.03069650009
-0.386005981,1.142582766,-0.4792364552,-1.161082149,-0.7400881648,0.006127563305
-0.4439204098,1.169611642,-0.4922490085,-1.193758726,-0.7457880378,0.0382178165
-0.5114297655,1.159610765,-0.483201596,-1.233950853,-0.7462514043,0.05910392478
-0.5395066899,1.135151447,-0.4584020127,-1.263031125,-0.7341755033,0.04394967854
-0.5054699803,1.116243625,-0.4282289562,-1.26967597,-0.7151213884,-0.001140302513
-0.461762356,1.04727238,-0.4024142411,-1.249766588,-0.6848476529,-0.05954773724
-0.4646358656,0.9702671739,-0.3868975595,-1.218223095,-0.6453953385,-0.131652832
-0.560231498,0.9151599115,-0.4248539634,-1.178496242,-0.5709038973,-0.1888950765
-0.5489373661,0.8984761954,-0.4968569041,-1.142346501,-0.4882796407,-0.2122270316
-0.5415566082,0.9173927851,-0.5621210381,-1.11770165,-0.4285895228,-0.2229207456
-0.5905179152,0.9346960943,-0.566145654,-1.107487082,-0.402810663,-0.2139645368
-0.5849222872,0.8977987346,-0.5182618765,-1.11695838,-0.3937335312,-0.1977100819
-0.5360305382,0.8316898934,-0.3946716641,-1.130371332,-0.3995048702,-0.1777289212
-0.4384352564,0.7535241191,-0.2703191256,-1.150379062,-0.4154188037,-0.1691273004
-0.3584977963,0.6871905293,-0.1780563274,-1.154359102,-0.4473455846,-0.1591739953
-0.3121685914,0.6314040524,-0.07746957212,-1.148877859,-0.4787572026,-0.1482222676
-0.315845234,0.6048357789,0.05208714745,-1.127494216,-0.5079017878,-0.1281313896
-0.3015536738,0.6058151453,0.1372885925,-1.09561801,-0.5300424695,-0.09199453145
-0.3139309249,0.6194084942,0.1065481844,-1.064911008,-0.5479732752,-0.06366568804
-0.3408849828,0.6184416949,0.05802461121,-1.038720965,-0.5296133161,-0.04808982834
-0.2564262459,0.5477224373,0.04561338486,-1.006112695,-0.4376207888,-0.02954490297
-0.1017991633,0.4025847753,0.003884951675,-0.9714844823,-0.3007918596,-0.01166848838
0.07142623683,0.2445703884,-0.05471358696,-0.9492473602,-0.1974617392,-0.001253930619
0.09241817146,0.2154889631,-0.07944821525,-0.9405921698,-0.1535780877,-0.002180781215
0.09630758011,0.1903749801,-0.06518387184,-0.9404563308,-0.1594458371,0.000191296218
0.1261538523,0.1281120007,-0.0400094639,-0.9412764311,-0.2017376721,0.008983314037
0.1489963832,0.02176788743,-0.002321392152,-0.9428812265,-0.2735103965,0.03624023497
