accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z
0.3398296285,0.1208585224,0.3200380096,-0.6075435877,0.1619042307,0.2014127672
0.4971326523,0.2518586457,0.2080336786,-0.6124330163,0.0567529276,0.2281125486
0.1140183011,-0.2007486362,-0.1802484306,-0.5910875201,0.02824458852,0.218472451
-0.190345754,-0.1127139405,-0.5376356353,-0.5641693473,0.04220335558,0.2137148976
-0.2234650565,0.2204172133,-0.6835153479,-0.4942328632,0.03803284466,0.1819910556
-0.3647957274,-0.04996083948,-0.6949912661,-0.4306213558,0.05908264592,0.1195282191
-0.4974129306,-0.08238646066,-0.5924065055,-0.3829595447,0.1140718684,0.05703554675
-0.4893450672,0.1269070088,-0.4543114555,-0.3493912816,0.1962035149,-0.01666925475
-0.4468573401,0.2305688972,-0.3354419149,-0.3032733202,0.2371642739,-0.04898724705
-0.3944032225,0.2436480128,0.005824176109,-0.2596364319,0.2380158007,-0.03566616029
-0.3058881959,0.1621402347,0.392309465,-0.2411649972,0.2453674525,-0.02042275853
-0.3186588302,0.1636808883,0.7393652454,-0.267812103,0.2969439626,-0.03669980541
-0.3517722875,0.1420085702,1.015639517,-0.3144238293,0.3420528471,-0.07722246647
-0.3953223831,0.1308465402,1.398876033,-0.3864028752,0.4508138299,-0.1960683763
-0.4457940947,0.04791369769,1.621113009,-0.4573673308,0.5300218463,-0.1677608341
-0.1870996117,0.3937118792,1.660472375,-0.5162217021,0.6416288018,-0.04930458963
0.2406383096,0.6493862838,1.394676243,-0.5745566487,0.7706648111,0.03515996039
0.1525850554,0.4851983228,0.7878928372,-0.6137882471,0.8278484941,0.009813856333
-0.2291056928,0.1009381625,0.3266045285,-0.6241463423,0.7966479659,-0.05567487329
-0.3340349707,-0.116675976,-0.05215455013,-0.6242526174,0.7419198155,-0.07179452479
-0.08331950372,-0.08119725087,-0.5267255343,-0.5998953581,0.6295482516,-0.03394568339
0.3325646059,0.01562295494,-0.8342401624,-0.5833082795,0.489333272,0.052639734
0.7869239922,-0.02197948436,-1.104903023,-0.5551916957,0.3496448398,0.1452945769
