x,y,z,x,y,z
-0.4647992395,0.9500420589,0.1839554684,-0.2638975382,-0.5260336995,-0.05894657969
1.272890523,0.5029004221,-0.3675789284,-0.2113106996,-0.7697541714,0.08572085202
0.6854746653,0.7644091588,0.1445031635,-0.1687213033,-0.4839489758,0.3224523365
0.3425052774,0.3675223029,-0.01397007316,-0.1982046515,-0.3127578795,0.6043926477
0.4068992775,0.3712403735,-0.04253039722,-0.1708255857,-0.1521006376,0.7424907088
0.725527128,0.5089467895,-0.1406108322,-0.1220747754,0.02589787543,0.7522573471
0.4835729135,0.4435864286,-0.2514537182,-0.03399690613,-0.06851644069,0.7809845805
0.3328036754,0.5338040213,-0.4572673826,-0.152884528,-0.3918180168,0.7510493398
0.1539794324,-0.2704503873,-0.8827788601,-0.1401736885,-0.8232445121,0.6334842443
-0.09857859378,-0.2099247531,-0.4364057964,0.2839665413,-0.7950819731,0.1620141715
0.9746411512,0.0809029441,0.7468325125,0.2132090032,-0.5606397986,0.07716970891
-0.3583040273,-0.81130535,-0.04013970269,-0.4031195343,-0.6387799382,0.2780540586
-0.670815733,-0.299400076,-0.4454021728,-0.5778217912,-0.5157159567,0.3131324351
-0.3081400665,0.2399173019,0.4877069446,-0.6550119519,-0.05397722125,0.313965857
0.09447510399,-0.39487084,0.2372381458,-0.8369623423,0.2283274829,0.1415207386
0.5571893539,0.4433689865,0.3915630306,-0.7567167878,0.368735224,-0.255800128
0.2529761054,0.3453348748,-0.3056523413,-0.5658108592,0.2518466413,-0.5673966408
0.108534609,0.3736977766,-0.8399246377,-0.5176570415,-0.2203456014,-0.6386209726
-0.5324442042,0.7354653153,-1.135075459,-0.367787689,-0.4365329742,-1.016343951
0.1314817693,0.3154369455,-0.7631441804,-0.2700916231,-0.5618712306,-1.565288067
0.403958694,-0.4869371292,-1.414984872,-0.493560791,-0.751935482,-1.679614663
-0.4132213202,0.05211436425,-0.6948053882,-0.7489052415,-0.3358565867,-1.876686454
0.497599393,-0.01581497038,-0.0252104291,-0.7518321276,0.160569042,-1.893753886
0.2934764581,0.2545833945,0.2373077039,-0.643304944,0.7040002942,-1.966487765
0.2629898422,0.5071034267,0.4844242696,-0.4368147254,1.230157375,-2.048446655
0.07426905904,0.531794362,0.8910223723,-0.2284075171,1.640654325,-2.13668704
-0.2079270034,0.5398630291,1.02695586,-0.00596314203,1.817721248,-2.181484222
-0.65466627,0.5233660678,0.4772147767,0.3332609534,1.79481256,-2.263203382
-0.9480351761,0.2595129598,-0.008231821772,0.5872189999,1.453375697,-2.326436758
-0.2680585237,-0.3577983794,-1.121141626,0.5537302494,0.5565751791,-2.237330914
-0.470856859,0.698781233,-0.4406283825,0.4971116185,-0.005608924665,-2.252592564
-0.2782018052,1.115246211,-0.1071498766,0.3959239423,0.09543486685,-2.359972954
-0.0001448883634,1.156916046,0.4849216978,0.2560325265,0.396101892,-2.363199234
-0.1865638974,1.117819715,0.4710124149,0.2955950797,0.5708522797,-2.281735182
-0.4442733149,1.026891051,0.1800835954,0.4089057446,0.6027780175,-2.234526634
-0.5664477787,0.8220325688,-0.2791056952,0.3982530832,0.483392626,-2.170606136
-0.5837286569,0.7535293798,-0.6940513549,0.3564240932,0.3194001615,-2.209542274
-0.564431507,0.7762500379,-0.6757645876,0.3341902792,0.3966925144,-2.336673737
-0.7264280955,0.7668085481,-0.2765449048,0.2510091662,0.6564108729,-2.40692091
-0.8356126198,0.795103207,-0.1132300733,0.1687944084,0.8516743183,-2.290110588
-0.8688595672,0.6943178969,-0.1118190375,0.1491940618,0.8679199815,-2.13722682
-0.9645413436,0.6299097222,-0.3253448838,0.141274184,0.7007027864,-2.102321386
-0.8453309538,0.6661487641,-0.3022036622,0.1980440617,0.5656636357,-2.159055233
-0.6715322838,0.3832427999,-0.1451268483,0.360109061,0.5015944839,-2.271184683
-0.4339392602,0.1585129841,-0.2148036112,0.5447440147,0.7359663844,-2.287068844
0.5590301594,-0.1285334409,0.6145739136,0.5361382365,0.578799367,-2.29876852
0.0343741249,-0.4696529631,-0.2999462386,0.5394556522,0.1856479496,-2.306546688
0.2697448694,-1.008071419,-0.6899509339,0.6403495669,0.4281842113,-1.947573781
0.4111760781,-1.287160602,-0.2469809567,0.6879794002,1.056531787,-1.320499897
0.38888329,-1.775956803,-0.01825520314,0.6718961,1.050382376,-0.5232479572
0.9224836785,-2.011879628,0.1767828003,0.5513955951,0.8007475138,0.2743245959
0.3892769655,-0.4057037841,0.6811883662,0.1221340373,-0.06451550126,0.4255279601
-0.321514658,0.4853286711,1.608442328,-0.2659704685,-0.2651049197,0.315846324
-0.2616584474,0.01000219245,1.28016782,-0.4209408164,-0.270650655,0.1434322149
-0.1133073764,-0.2893421348,0.4395230516,-0.378405273,-0.1927634925,-0.04392182827
-0.102695966,-0.08383344459,0.08354805178,-0.2315754741,0.01193730347,-0.1459970623
-0.2489195235,0.5523458594,0.2579951026,-0.04928291962,0.05170184746,-0.2310251296
0.2248620638,0.2289503561,0.06577800181,0.06947565079,-0.2370328456,-0.1867591441
0.66887249,-0.0787646169,0.1313748018,0.1488532424,-0.4095398486,-0.1135901138
0.381314316,-0.101458387,-0.3559896129,0.3129397035,-0.441152066,-0.0952257514
0.01796937193,-0.03647679626,-0.3230477128,0.591680944,-0.3353383243,-0.3000957966
-0.188919959,-0.1266119714,-0.718046563,0.8580390811,-0.4100754559,-0.5005540848
0.05196662634,-0.5515237293,-0.4456821588,1.038706064,-0.4115737677,-0.6670171618
0.481677309,0.3519412143,-0.1621294211,1.097036362,-0.7050821781,-0.5163899064
0.7692538954,0.7786568068,-0.08675883052,1.229210377,-0.822340548,0.01130309701
0.8312827739,0.1422451554,-0.1074748708,1.132288337,-0.6536114812,-0.0009361496195
0.6292435133,0.3932265799,0.5168424382,0.8084349632,-0.6853402853,-0.114426598
0.3004671938,-0.4547632909,0.8181599652,0.5698599815,-0.6523371339,-0.08699523658
0.2549864223,0.03614771044,0.5392980156,0.373565942,-0.6276336312,-0.1171668693
0.1981514593,0.03320230464,0.4561404244,0.02210470289,-0.3689161837,-0.05732378736
0.1431537947,0.2504071317,0.1450719033,-0.2397769392,-0.1525898576,0.07436808199
0.1659321743,0.1754483368,0.02678103942,-0.2840255499,0.0287705157,0.2150867283
-0.04862601068,0.2220972753,-0.1083545763,-0.1803359687,0.0996337533,0.2981898189
-0.1183446399,-0.1490828925,-0.07729366756,-0.0215116255,-0.09096693993,0.2573272288
-0.1572400416,-0.2851180874,-0.05635609347,0.1093615443,-0.2279390097,0.1685812771
-0.05804952645,-0.3773728849,-0.1377788237,0.207177639,-0.3080307543,0.2198504359
0.02319755491,-0.2341176757,-0.2886924387,0.2530823052,-0.2839057148,0.3055696487
-0.1842308513,-0.2141924935,-0.1569493881,0.1860169619,-0.2348506898,0.3420284092
