 accelerometer x,accelerometer y,accelerometer z,gyro x,gyro y,gyro z
-0.4624481201,0.8475189209,0.2650756836,-0.1130695641,0.7046247721,-3.503654718
-0.3150634766,0.5561218262,0.2214813232,0.07851238549,0.5218600035,-0.2050519437
-0.45652771,0.7944335938,0.3511657715,0.9160459042,-0.01583648659,1.975418687
-0.8190002441,1.029953003,0.4308776855,0.4358811677,-0.5260757804,4.208535194
-0.8257141113,0.7418212891,0.4368286133,-0.02967107669,0.4176995158,2.910447359
-0.7077026367,0.740524292,0.2897186279,-0.7528143525,0.9670163989,1.426394701
-0.7124023438,0.6038208008,0.2874145508,0.3159486353,-0.2281415612,1.652324677
-1.040115356,0.7388763428,0.4468688965,0.3168967366,-0.5346966982,0.5064096451
-0.9508972168,0.8527679443,0.427734375,-0.8135714531,0.8159430027,-2.767476797
-0.6304473877,1.075241089,0.1961364746,-0.03264582902,-0.809168756,-3.777900219
-0.4729003906,0.8048858643,0.2834014893,0.7009269595,-0.06583254039,-3.137643099
-0.3927459717,0.648223877,0.2336730957,0.04633554071,0.2034652382,-1.057857871
-0.4532318115,0.7351226807,0.2786560059,-0.1501447558,0.1935670674,0.427564919
-0.4425506592,0.8609771729,0.3196105957,-0.191568628,-0.1653122604,3.082345486
-0.9711914063,1.014663696,0.5518798828,1.267987728,-0.8617802858,2.301617622
-0.7283477783,0.575088501,0.4104919434,-1.070823193,0.340996474,1.517151713
-0.6639556885,0.6562194824,0.2540740967,-0.111695908,0.3174919486,1.315967202
-0.7834014893,0.670715332,0.4086608887,0.6679178476,-0.263212204,0.8359707594
-0.9777526855,0.8415527344,0.5179138184,-0.2851878107,0.1557440609,-0.6614237428
-0.9705657959,0.905670166,0.4267883301,-1.198165536,0.1653503478,-2.798012972
-0.5794219971,0.9322357178,0.2042388916,-0.06964085996,0.3801673055,-3.126005173
-0.3319396973,0.7194976807,0.2168121338,-0.01408545859,0.7590973377,-3.104398012
-0.3396759033,0.6557769775,0.3230285645,0.4559946954,0.5654498339,-0.08362272382
-0.4060211182,0.5946044922,0.3860626221,-0.4214154184,0.2149466574,1.490518212
-0.6655731201,0.7789764404,0.3833312988,-0.2412949055,-0.8215412498,4.685387611
-0.9080657959,0.8482971191,0.4339599609,-0.01591318659,-0.2949898243,2.170632362
-0.7592468262,0.729888916,0.3197631836,-1.842966557,1.545610309,0.9682475924
-0.6685638428,0.6786651611,0.2010345459,0.1050374731,0.272941798,0.6896665692
-0.7099456787,0.5804748535,0.4288024902,0.1326019913,0.8304234147,-0.03933302313
-0.508972168,0.6802062988,0.4209899902,-0.2518162727,1.247647047,-0.1785015613
-0.4775238037,1.033096313,0.4659881592,0.1105171889,0.5611738563,-0.1399986446
-0.320892334,1.252319336,0.4771881104,-0.8478183746,0.4810068309,-0.1828648895
-0.2238616943,0.8412628174,0.4223175049,-0.3327832818,0.9271430373,0.2864008546
-0.1563110352,0.8087768555,0.2821044922,-2.344543934,2.176178455,0.3677170277
-0.1839294434,0.8926086426,0.1102752686,-2.494561195,2.202746391,0.9783665538
-0.6273193359,0.9482727051,0.2213287354,-3.176041842,1.934924245,1.178042412
-0.9104614258,0.7640075684,0.1060180664,-1.731177211,2.316408157,2.523748398
-0.7886962891,0.2154846191,0.3159179688,0.0001254348899,0.804284215,1.052020311
-0.7317810059,0.2813873291,0.4310913086,-0.2869199216,0.604411304,0.9391168952
-0.9818572998,0.6702423096,0.6133728027,0.05101577938,0.7506399155,0.4639245272
-0.7687530518,0.6881408691,0.577331543,0.7299937606,0.03163995221,-0.4727193415
-0.8556060791,0.8336486816,0.5336608887,-0.08517428488,0.1865003705,-0.5919216275
-0.725402832,0.8007202148,0.2866516113,-0.6109323502,0.1753787398,-1.168319464
-0.5149841309,0.5523376465,0.2667999268,-0.3531780243,0.4660446644,-0.863247931
-0.4438018799,0.5463409424,0.1802520752,-0.5509139895,0.6800594926,-0.2989334464
-0.516204834,0.7671051025,0.2420349121,-0.05315642804,0.3193122149,0.5668359995
-0.6108398438,0.991394043,0.37890625,0.02671683207,0.7948052287,2.043444872
-0.652633667,0.931137085,0.5793151855,-1.29793334,1.720108271,2.749339104
-0.6669006348,0.8217773438,0.2760772705,-1.801630378,1.769664884,1.309007525
-0.5963134766,0.5648498535,0.1959228516,-1.767345071,0.7985320687,-0.03500405699
-0.5228881836,0.5971069336,0.09346008301,-0.4552668631,0.1999370903,0.2246102095
-0.6920318604,0.6307220459,0.2992401123,1.742145181,-1.019899368,-0.08069831133
-0.8849334717,0.6701812744,0.5939331055,1.540245295,-1.017264724,-0.06477206945
-1.085784912,0.8757171631,0.6630554199,0.07435678691,0.9253726006,-1.391513348
-1.032348633,1.143325806,0.5459136963,-0.3768002689,-0.8146769404,-4.065838814
-0.6552734375,0.9236755371,0.3143920898,-0.7110541463,1.085666656,-3.670553207
-0.2727813721,0.5558929443,0.1697235107,0.2425332814,0.7331751585,-1.927947998
-0.2260284424,0.4393615723,0.1739959717,0.2152625173,-0.1357849985,0.7827224731
-0.5116119385,0.8125915527,0.3627624512,1.372919202,-0.7117154002,3.808376789
-1.078109741,1.34954834,0.592666626,-0.49743402,-0.6207612753,6.592661381
-1.151107788,0.695892334,0.4425201416,-1.488100648,2.154400587,2.32303524
-0.6497955322,0.7394561768,0.1954040527,-0.8174418211,1.214523196,-1.047949076
-0.4925537109,0.4577941895,0.2029724121,0.3589072824,-0.2531464994,0.3198709488
-0.8258972168,0.7059020996,0.4348754883,1.072617412,-0.1998007298,0.3761576414
-1.14755249,1.075805664,0.7008514404,1.408863664,-0.5775101781,-0.9741515517
-0.8761138916,0.9174194336,0.445022583,-0.8571721911,-0.3417858183,-3.607542753
-0.6077575684,0.8861541748,0.2766418457,0.3206011951,0.02613386512,-3.451353788
-0.4140625,0.6874389648,0.2925109863,-0.06202741712,0.6244127154,-1.548039556
-0.2773132324,0.6485900879,0.2230529785,-0.1374555975,0.7703915238,0.4209938347
-0.6045379639,0.8841705322,0.4555358887,1.127355218,-0.8617536426,2.254261732
-0.7745819092,0.8931274414,0.5086364746,-0.4891771376,0.2553159297,4.198581219
-0.7611236572,0.6262969971,0.3518066406,-0.9429693818,0.7667586803,2.717889786
-0.7285003662,0.7515716553,0.2675628662,-1.712552667,1.118031502,0.9596275091
-0.6457214355,0.6289672852,0.1724700928,0.4180297256,-0.3257176578,0.7200993299
-0.8196105957,0.6105957031,0.3454742432,0.7240573168,-0.2067667544,0.350286901
-1.110733032,1.004104614,0.4641113281,1.045354605,-0.7159956694,-2.084393501
-0.7515869141,1.320388794,0.3377380371,0.7557212114,-1.42663908,-5.412590504
-0.5829772949,0.8842315674,0.3800506592,-0.4404034913,0.6720140576,-4.050620556
-0.3310089111,0.6499023438,0.2202758789,-0.5678903461,0.7726389766,-1.664844513
-0.3749084473,0.6000671387,0.195022583,-0.5670357347,0.06357178837,0.5303298831
-0.4649810791,0.8322753906,0.4176483154,0.6151584983,-0.2081156522,2.773388863
-1.217178345,1.160171509,0.8242797852,0.5069191456,-1.450816631,4.455004215
