accelerometer x,accelerometer y,accelerometer z,gyroscope x,gyroscope y,gyroscope z
0.1550011766,-0.140272394,0.2136515185,-0.5843687654,-1.055360198,-0.2150385827
0.06371668537,-0.0489107459,0.1674251894,-0.3142624497,-0.9943237305,-0.2761911452
0.05445698185,0.1163829844,0.2246715097,-0.1899389327,-0.9077571034,-0.3020963967
-0.07491583251,0.2388999415,0.22840602,-0.1815936416,-0.8391678929,-0.2745396197
-0.296429755,0.2818725296,0.2718020942,-0.2233629376,-0.7952358723,-0.2268251479
-0.2048755069,0.1573506624,0.2930979802,-0.2656355798,-0.8003829122,-0.1940845251
-0.05928776301,0.03752542854,0.3801239372,-0.2846566439,-0.8329603672,-0.1731751859
0.0198830966,-0.02972556844,0.5105225875,-0.2809883952,-0.8668940663,-0.1557890028
0.08938099572,-0.06037935764,0.6494026504,-0.2656658888,-0.9026457071,-0.1612343639
0.1250754094,0.06068360128,0.6999579486,-0.2288224101,-0.8912103772,-0.2004997432
0.16781565,0.2516559627,0.7147516131,-0.1206982955,-0.8363907933,-0.2580912709
0.3693818862,0.3388122681,0.9272925401,0.04134412855,-0.724380374,-0.3243326247
0.7115133619,0.06740735658,1.341632635,0.08794670552,-0.522718668,-0.3038266599
0.5065440393,-0.1107660213,1.29699036,0.08249548078,-0.3589374721,-0.2269681245
-0.1458159996,-0.3650377195,0.8784487219,0.1161368787,-0.2713311315,-0.1822042316
-0.2314130929,-0.6075368546,0.8371937515,0.1632761508,-0.1969069391,-0.1609777808
-0.08994038317,-0.4975584765,0.6963789211,0.191868037,-0.1237053126,-0.1601786762
0.09070376875,-0.3679115214,0.5838485205,0.1852380931,-0.07302349806,-0.1625502259
0.194144854,-0.2794192912,0.3557704172,0.1579589248,-0.06191464886,-0.1481917202
0.1713788954,-0.3091854839,0.1238169338,0.1259407997,-0.103188321,-0.1234054044
0.09716039755,-0.4691358074,-0.1234171208,0.09167597443,-0.1937781721,-0.09691537172
0.0235506792,-0.6157414961,-0.3568815933,0.05639015138,-0.326697886,-0.0726531744
-0.1473404327,-0.6369315836,-0.4694067333,0.01894260384,-0.4781258702,-0.01000846084
-0.6594456132,-0.6149588213,-0.49178983,-0.03082202189,-0.5116483569,0.08929468691
-1.202263912,-0.4088263001,-0.359169412,0.03416640684,-0.5358391404,0.09816835076
-0.8484820382,-0.4062055962,-0.01975917796,0.1513729244,-0.5372697711,0.1010181978
-0.6870718713,-0.3467304939,0.9831301626,0.1594185084,-0.3749952018,0.1370596141
-0.7191641689,0.1808916969,1.449359435,0.1918957531,-0.1936834753,0.1552908123
-0.8029302473,0.1343883044,1.619081795,0.2868455052,-0.05609402806,0.1461660862
-0.8379007307,0.104837508,1.586787545,0.3962399065,0.03856802732,0.1465599686
-0.8316033841,0.100090898,1.611865873,0.4714553058,0.1140758917,0.1692202538
-0.8408692251,0.1133095683,1.762389027,0.5559467673,0.203609243,0.2072443366
-0.8976327303,0.2824155504,2.118431831,0.6972567439,0.3198981285,0.2424713671
-0.8867810815,0.5901040737,2.541996851,0.9155249,0.4709454477,0.2787201703
-0.8616223825,1.036129347,2.913635284,1.194892049,0.6262617111,0.2918728292
-0.9509519403,1.347002053,3.272326557,1.482508898,0.8488010764,0.2087963074
-0.6639478931,1.606740785,3.329775122,1.73705852,1.126476288,0.07628789544
-0.3843117443,1.944222096,3.178333684,2.00302887,1.351349592,-0.03936865926
-0.5039852947,2.1108839,3.154441351,2.32570982,1.490875483,-0.07547952235
-0.7327829444,2.293153023,3.219276519,2.747831106,1.517248988,-0.001105428673
-1.087785884,2.439824178,3.183117411,3.269467831,1.480014801,0.1788200885
-1.4577067,2.183428912,3.160433285,3.815701008,1.349517703,0.359523803
-1.617373822,1.674552338,2.817408952,4.297906399,1.118151426,0.445397824
-1.565825714,1.372584823,2.224906001,4.639978886,0.9464606643,0.4408619106
-1.184674479,1.223263445,1.54154029,4.776349545,0.919316709,0.3462505937
-0.5068137961,1.066537345,0.9314560895,4.678127766,0.9001078606,0.05176009983
0.4501248174,0.5834574753,-0.03705751876,4.327498436,0.7911385894,-0.3307971358
1.06547936,0.3205740161,-1.486328106,3.775246859,0.4844132066,-0.6125649214
1.238192134,-0.4401034819,-2.974067833,3.051222086,0.1099538058,-0.645981133
0.7699798716,-1.598684319,-4.132810875,2.240790129,-0.2336909175,-0.4174850881
0.2546510529,-2.43223007,-4.445444162,1.494234562,-0.5829557776,-0.06211259216
0.1235793257,-2.700378318,-4.130726178,0.9371845722,-0.9358459115,0.1588560045
0.6776753897,-2.516777069,-3.423879639,0.5734543204,-1.284993172,0.04809939861
1.486044321,-1.971784642,-2.652619664,0.4133146703,-1.547141433,-0.2427492142
2.274687684,-1.26995973,-1.883745124,0.4428105652,-1.734608293,-0.6528967619
2.806291346,-1.011572413,-1.198185995,0.590638876,-1.826002598,-1.046794534
3.180902657,-0.8273825515,-1.012920321,0.7514626384,-2.000364542,-1.308719754
3.150639036,-0.6862760448,-1.084594687,0.9129327536,-2.434761763,-1.467959285
2.773164737,-0.7378671158,-1.185648877,1.078450918,-3.094573259,-1.687615275
2.524153736,-0.5982938099,-1.490802621,1.30637145,-3.697428465,-1.949832559
2.952306668,-0.3212473854,-1.649499145,1.568426967,-4.156596184,-2.28646946
3.375708021,0.2343488541,-1.686028841,1.770805955,-4.506918907,-2.698635101
3.51203723,0.6231605402,-1.581695191,1.874505997,-4.811914444,-3.126192331
3.122684569,0.3735001352,-1.481321676,1.864646673,-5.073459148,-3.534582615
2.67697903,-0.00327273806,-1.698645161,1.747826815,-5.236210346,-3.886656284
2.310657992,-0.5276800585,-2.082067848,1.553774834,-5.300913811,-4.154250622
