accelerometer.x,accelerometer.y,accelerometer.z,gyro.x,gyro.y,gyro.z
-1.16,0.07,-0.79,-0.759,-0.153,-0.49
-0.77,0.13,-0.89,-0.839,-0.085,-0.491
0.18,-0.66,-0.8,-0.734,-0.154,-0.492
-0.21,-0.44,-0.61,-0.674,-0.167,-0.477
-1.25,0.13,-0.7,-0.661,-0.155,-0.546
-1.62,0.1,-0.39,-0.684,-0.157,-0.617
-1.65,0.18,0.54,-0.729,-0.142,-0.648
-1.36,0.24,1.12,-0.764,-0.107,-0.658
-1.04,0.04,1.43,-0.8,-0.102,-0.666
-0.81,-0.12,1.66,-0.841,-0.124,-0.63
-0.48,0.1,1.68,-0.857,-0.097,-0.577
-0.22,0.28,1.3,-0.801,0.011,-0.519
-0.62,-0.63,0.91,-0.818,-0.135,-0.5
-0.82,-0.21,0.58,-0.814,-0.108,-0.475
-0.86,0.9,0.56,-0.855,-0.01,-0.486
-0.71,-0.08,0.49,-0.862,-0.015,-0.481
-0.46,-0.36,0.8,-0.872,-0.031,-0.445
-0.55,-0.08,0.6,-0.937,-0.023,-0.424
-0.2,0.11,0.4,-0.995,0.029,-0.426
0.48,-0.13,0.35,-0.992,0.038,-0.411
0.72,-0.45,0.42,-0.959,0.002,-0.393
0.53,-0.13,0.16,-0.908,-0.013,-0.389
0.05,0.27,0.14,-0.877,0.008,-0.38
-0.37,0.3,0.08,-0.874,0.024,-0.381
-0.57,0.16,0.12,-0.885,0.023,-0.38
-0.55,0.18,0.23,-0.924,0.018,-0.367
-0.35,0.31,0.29,-0.958,0.022,-0.349
0.04,0.36,0.22,-0.975,0.019,-0.333
0.23,0.46,0.18,-0.95,0.046,-0.352
0.11,0.26,0.33,-0.981,-0.068,-0.34
0.13,0.92,0.46,-1.02,-0.002,-0.415
0.38,1.41,1.01,-1.067,0.069,-0.422
0.75,0.41,1.74,-1.111,0.007,-0.401
1.28,0.52,1.86,-1.028,-0.022,-0.357
1.01,1.05,1.99,-0.95,-0.054,-0.213
-0.05,1.31,1.11,-0.966,-0.04,-0.208
-0.31,1.49,0.56,-0.988,-0.034,-0.13
-0.14,1.22,0.58,-1.017,-0.111,0.006
0.26,1.66,-0.5,-0.965,-0.186,0.06
-0.02,2.56,-1.53,-1.009,-0.2,0.017
-0.13,3.05,-1.4,-1.07,-0.179,-0.003
0.56,3.03,-1.11,-1.102,-0.133,-0.07
0.98,2.79,-0.84,-1.137,-0.093,-0.135
1.33,2.34,-0.11,-1.155,-0.085,-0.156
1.63,2.17,0.16,-1.152,-0.09,-0.182
1.72,2.22,0.28,-1.138,-0.091,-0.207
1.64,2.29,0.43,-1.121,-0.088,-0.217
1.51,2.32,0.48,-1.103,-0.065,-0.214
1.37,2.24,0.36,-1.071,-0.035,-0.208
1.17,1.98,0.16,-1.035,-0.003,-0.199
0.85,1.71,-0.08,-1.017,0.023,-0.219
0.58,1.43,-0.19,-1.021,0.034,-0.24
0.59,1.27,-0.04,-1.036,0.05,-0.236
0.68,1.19,-0.06,-1.057,0.089,-0.222
0.95,0.95,-0.27,-1.055,0.128,-0.237
1.02,0.51,-0.39,-1.079,0.134,-0.283
1.11,0.3,-0.1,-1.112,0.133,-0.33
1.44,0.31,0.38,-1.148,0.133,-0.363
1.74,0.29,0.79,-1.193,0.129,-0.363
2.16,0.27,1.02,-1.237,0.129,-0.336
2.55,0.27,0.89,-1.274,0.152,-0.302
2.97,0.09,0.64,-1.283,0.183,-0.266
3.15,-0.27,0.34,-1.269,0.215,-0.233
3.12,-0.64,0.05,-1.239,0.242,-0.221
2.87,-1.01,-0.16,-1.214,0.255,-0.241
2.56,-1.25,-0.12,-1.189,0.247,-0.288
2.35,-1.26,0.24,-1.158,0.283,-0.343
2.01,-1.42,0.83,-1.15,0.311,-0.352
1.81,-1.81,1.23,-1.142,0.335,-0.335
1.61,-2.41,1.1,-1.126,0.377,-0.313
1.61,-2.41,1.1,-1.102,0.404,-0.277
1.35,-2.85,0.94,-1.119,0.396,-0.234
1.28,-2.96,0.57,-1.099,0.377,-0.211
1.36,-2.89,0.32,-1.052,0.329,-0.196
0.94,-2.61,0.15,-1.018,0.276,-0.189
0.57,-2.1,0.07,-0.983,0.246,-0.192
0.16,-1.72,0.06,-0.977,0.23,-0.187
-0.04,-1.5,0.07,-0.97,0.228,-0.167
-0.13,-1.43,-0.37,-0.958,0.234,-0.133
-0.13,-1.43,-0.37,-0.934,0.239,-0.141
-0.33,-1.48,-0.54,-0.891,0.223,-0.163
-0.64,-1.43,-0.36,-0.877,0.195,-0.2
-0.95,-1.12,-0.14,-0.862,0.181,-0.255
-1.08,-0.94,0.31,-0.926,0.139,-0.273
-0.89,-0.61,0.66,-0.954,0.137,-0.282
-0.18,-0.29,0.59,-0.935,0.144,-0.353
-0.29,-0.4,0.85,-0.928,0.122,-0.418
-0.33,-0.25,1.59,-0.916,0.104,-0.425
-0.41,0.19,1.74,-0.934,0.091,-0.409
-0.19,0.02,1.47,-0.955,0.121,-0.371
-0.19,0.02,1.47,-0.946,0.105,-0.3
-0.04,-0.08,0.9,-0.887,0.087,-0.279
-0.44,0.19,0.26,-0.876,0.095,-0.292
-0.87,0.25,0.35,-0.903,0.105,-0.268
-0.7,0.16,0.23,-0.929,0.108,-0.229
-0.42,0.14,-0.04,-0.952,0.115,-0.112
-0.19,0.15,-0.8,-1.002,0.127,-0.07
0.19,0.09,-1.84,-1.017,0.132,-0.134
0.55,0.06,-1.57,-0.999,0.16,-0.211
0.56,-0.02,-0.87,-0.956,0.222,-0.297
0.25,-0.44,-0.05,-0.893,0.272,-0.39
-0.32,-1.04,0.83,-0.836,0.283,-0.497
-0.88,-1.31,1.88,-0.803,0.284,-0.518
-1.43,-1.29,2.67,-0.819,0.281,-0.462
-1.45,-1.12,1.69,-0.842,0.261,-0.39
-1.24,-1.12,1.69,-0.889,0.222,-0.353
-0.91,-0.78,1.13,-0.935,0.205,-0.311
-0.34,-0.41,0.76,-0.918,0.206,-0.262
-0.14,-0.32,0.17,-0.835,0.198,-0.232
-0.59,-0.23,-0.23,-0.693,0.204,-0.27
-1.78,-0.07,-0.39,-0.719,0.199,-0.269
-2.49,-0.03,0.04,-0.788,0.22,-0.233
-1.67,0.16,-0.52,-0.77,0.304,-0.264
-1.38,-0.37,-0.43,-0.697,0.326,-0.264
-1.86,-0.88,-0.3,-0.633,0.297,-0.262
-2.59,-0.6,-0.26,-0.639,0.296,-0.197
-2.92,-0.27,-0.51,-0.717,0.321,-0.086
-2.4,-0.29,-1.31,-0.771,0.306,0.008
-1.63,-0.24,-2.36,-0.774,0.258,-0.049
-1.35,0.32,-2.5,-0.787,0.219,-0.179
-1.39,0.96,-1.26,-0.949,0.186,-0.373
-0.45,1.51,0.25,-1.025,0.244,-0.441
0.95,1.61,1.92,-1.102,0.303,-0.419
1.7,0.99,2.03,-1.095,0.241,-0.368
2.14,0.99,1.55,-1.049,0.131,-0.281
1.82,2.17,1.03,-0.991,0.071,-0.17
1.35,2.99,-0.15,-0.916,0.035,-0.119
0.69,3.58,-0.86,-0.873,0.058,-0.071
0.1,3.66,-1.37,-0.835,0.093,-0.083
-0.23,3.41,-1.64,-0.831,0.143,-0.169
-0.48,3.02,-1.05,-0.84,0.184,-0.198
-0.33,2.6,-0.29,-0.82,0.222,-0.147
-0.4,2.26,-0.48,-0.783,0.27,-0.106
-0.71,1.85,-0.97,-0.77,0.311,-0.128
-1.01,1.39,-1.02,-0.748,0.329,-0.169
-1.13,1.17,-0.51,-0.734,0.414,-0.118
-1.33,0.63,-0.42,-0.748,0.375,-0.097
-1.57,0.16,-1.33,-0.888,0.408,-0.291
-0.53,0.73,0.34,-0.908,0.442,-0.238
0.27,-0.13,0.87,-0.883,0.412,-0.207
0.09,0.09,0.37,-0.875,0.425,-0.197
-0.06,0.14,0.21,-0.844,0.463,-0.204
-0.26,-0.11,0.23,-0.841,0.5,-0.246
-0.48,-0.52,0.45,-0.84,0.549,-0.265
-0.41,-0.89,0.95,-0.846,0.58,-0.225
-0.47,-1.33,0.75,-0.871,0.585,-0.227
-0.25,-1.49,0.57,-0.885,0.563,-0.233
-0.09,-1.32,0.75,-0.91,0.584,-0.214
0.1,-1.33,0.67,-0.94,0.548,-0.238
0.42,-1.33,0.85,-0.897,0.526,-0.133
0.28,-0.95,0.61,-0.893,0.483,-0.079
0.03,-0.73,-0.44,-0.867,0.457,-0.113
-0.14,-0.32,-0.28,-0.873,0.497,-0.123
-0.31,-0.42,0.01,-0.914,0.456,-0.137
-0.05,-0.62,0.16,-0.879,0.476,-0.126
0.1,-0.34,0.31,-0.858,0.487,-0.078
-0.54,-0.74,0.0,-0.903,0.493,-0.067
-0.23,-0.76,-0.22,-0.917,0.514,-0.064
0.0,-0.97,-0.17,-0.927,0.506,-0.071
0.08,-1.22,-0.02,-0.93,0.479,-0.06
0.06,-0.91,0.12,-0.948,0.464,-0.057
0.1,-0.94,0.17,-1.02,0.424,-0.069
0.54,-0.67,0.4,-1.047,0.399,-0.048
1.1,-0.51,0.55,-0.986,0.309,-0.018
0.87,-0.04,0.35,-0.926,0.322,-0.006
0.12,0.47,0.26,-0.895,0.455,-0.027
-0.37,-0.56,0.38,-0.924,0.493,-0.025
-0.45,-1.65,0.66,-0.969,0.47,0.009
0.02,-1.69,0.54,-0.995,0.433,0.083
0.26,-1.51,0.09,-1.031,0.378,0.128
0.57,-1.15,-0.46,-1.046,0.355,0.12
0.83,-0.85,-0.49,-1.06,0.371,0.115
0.86,-0.95,-0.21,-1.059,0.383,0.11
1.04,-1.34,-0.1,-1.003,0.373,0.117
0.66,-1.41,0.06,-0.951,0.358,0.117
0.06,-1.35,0.01,-0.924,0.329,0.086
-0.31,-1.29,0.34,-0.929,0.253,0.086
-0.46,-0.76,0.51,-1.073,0.294,0.047
0.22,-0.35,0.54,-1.078,0.236,0.038
