accelerometer.x,accelerometer.y,accelerometer.z,gyro.x,gyro.y,gyro.z
9.591031,-9.83809,0.24526432,0.12644911,0.21655174,0.60231316
9.353543,-8.800801,0.80937225,-0.4961753,0.64766985,0.34147367
6.155536,-9.056235,-0.017347964,-1.5517504,-0.6046039,0.8863655
5.0392847,-8.597412,-0.09990034,-2.147802,-1.2437216,1.7669277
4.657031,-8.438289,-3.876971,-2.6655104,-1.4682146,2.7927232
5.4628143,-8.072187,-0.802792,-2.2563834,1.8274034,3.1780264
4.7491546,-6.4121666,-0.6687939,-0.3023783,3.6464074,2.7855456
7.5906315,-9.6993065,-2.3682961,0.013286319,1.0016663,1.5435038
5.9449677,-8.170891,-0.26261228,-0.36086863,-0.73655075,0.8414669
5.139185,-6.3888364,-0.73459655,0.13942999,-0.034972034,0.90469146
4.2981076,-5.4466624,-1.3250256,0.71883565,0.33108896,0.9967794
2.6703901,-7.0019975,-1.1515459,1.3599387,-0.48181996,1.6136005
1.6067804,-10.253245,-1.7611175,0.8538369,-0.9007208,1.7956384
1.8634106,-10.649856,-0.90029955,0.517861,-1.0829114,1.6016886
2.9198418,-10.828719,-1.0438689,0.5665775,-0.7069238,0.8501717
2.0249262,-12.567104,-1.1150553,0.75670934,-0.75609845,0.4925101
-3.7226338,-3.548556,0.18903299,1.5561792,-0.14446963,2.9953778
-0.4528417,-7.3292155,-3.9463627,1.6650659,-0.8324566,2.1365013
0.83988076,-11.612967,-1.2921243,0.044898596,-0.54290646,2.1838431
2.5310082,-15.051453,-1.1012967,-1.1612549,0.61636305,2.0767891
3.7034912,-15.982859,-2.1738794,-1.3324498,0.9640981,1.497078
3.4743786,-14.026727,-3.879962,-1.009913,0.33490688,0.43310347
1.6755741,-11.714662,-4.325027,-1.1490375,-0.23289238,-0.6939429
-0.098703936,-11.524432,-2.0195422,-1.4167492,-0.08078693,-1.5225816
-1.0169497,-10.274182,-0.047856454,-1.3607023,0.5849035,-1.8721492
-0.12981063,-8.175676,-2.4143581,-1.5670221,1.3930782,-1.0676397
0.5712864,-8.25464,-3.8416767,-2.4069617,0.64934975,-0.589485
1.3483555,-8.955737,-2.571686,-2.3419046,-0.54092115,-0.4063781
2.9653056,-9.695119,-5.197809,-1.9074267,-1.7864754,-0.6730208
1.9058832,-10.014561,-3.554538,-1.297936,-0.54351735,-0.82451534
1.7802601,-9.061021,-3.5234313,-0.63591075,0.43401974,-0.820392
0.8380861,-8.9724865,-3.345166,-0.528093,0.50991976,-0.39400807
2.164308,-7.768897,-3.359523,-0.7901542,0.11759156,-0.23411411
2.333002,-7.3986077,-3.6191442,-1.1001683,-0.5647449,-0.34895676
1.4261223,-6.882954,-3.6484563,-1.1652255,-0.5907067,-0.29153544
1.2640085,-5.99761,-3.9649072,-0.84772825,-0.6178902,-0.08124508
1.5002998,-5.8672013,-4.5942197,-0.55756724,-0.68829244,-0.13912456
1.2131611,-5.430511,-4.9938207,-0.3304781,-0.47418416,-0.20937407
1.4069797,-4.8652067,-4.415954,-0.09285152,-0.4098906,-0.18417588
1.7988044,-4.4135613,-4.4225345,0.043218717,-0.4008803,-0.15775596
2.2259233,-4.365705,-5.3180485,0.03481932,-0.21120666,-0.113926366
2.4831517,-4.877769,-5.6470613,0.13790283,-0.043066,-0.03634648
2.754139,-5.7248282,-6.250651,0.33826664,-0.07376198,-0.064446285
2.8695927,-6.902695,-7.338787,0.49632803,-0.20525073,-0.22174409
3.0472596,-7.751549,-8.385647,0.49327368,-0.26923886,-0.35231653
2.8002007,-7.9950185,-8.641679,0.3080288,-0.48899764,-0.3820962
2.7032914,-7.749156,-9.0347,0.20448714,-0.17058411,-0.41355577
2.0183458,-6.9451675,-9.62812,0.49464813,0.17363845,-0.38423425
