lsm6dso_accelerometer.x,lsm6dso_accelerometer.y,lsm6dso_accelerometer.z,lsm6dso_gyroscope.x,lsm6dso_gyroscope.y,lsm6dso_gyroscope.z
9.722038,-8.652447,-2.0793629,0.28657195,0.23693918,0.61491174
14.201403,-9.750752,-4.465007,0.13996439,1.5515202,0.21479532
14.598611,-5.938986,15.842878,0.15645774,-1.91697,0.35468337
11.485549,-4.290331,-5.6590257,0.48388126,-0.20960298,-0.09430225
5.733203,-2.1966112,-5.881558,0.07948878,3.2472808,-0.5585595
3.5270207,-0.8997013,-3.4576287,0.09720386,3.7219226,-0.57260936
6.8721867,-4.4051867,-3.2638102,-0.13736822,3.5343874,-1.085125
8.030313,-8.037491,-2.6703901,-0.25526512,3.5191157,-1.4131593
7.925029,-11.88515,-2.1511476,-0.4428006,2.2540147,-1.1278855
6.7094746,-10.992627,-1.6917256,-0.66820973,0.84719306,-1.0020473
4.2759743,-8.391629,-0.9882358,-0.870406,-0.35621053,-1.1761438
2.5698915,-7.537391,-0.11006984,-0.92904896,-1.2358558,-1.3435208
1.7060826,-8.800801,0.19860429,-0.88140154,-2.034867,-1.382616
1.3423735,-9.705289,0.09092726,-0.9162208,-2.7049856,-1.206687
1.2753744,-9.9756775,-0.4139583,-1.2008837,-3.2358272,-0.9391282
1.1629118,-9.77468,-0.8709874,-2.3279293,-3.7593381,-0.61842424
0.8877372,-9.267402,-0.0526421,-2.8105125,-3.4160323,-0.2372446
1.9094725,-8.721839,0.9236295,-2.8196754,-1.5785509,0.40294167
3.885944,-8.647661,2.321038,-2.184987,1.4806598,0.5929206
4.4674,-8.79123,1.8496519,-1.3065634,3.3193629,0.34429866
4.2352962,-8.568698,1.1365907,-1.0286199,3.2442265,0.19646938
5.2283173,-9.169296,1.9190438,-1.1984403,1.3603195,0.20685409
4.7282176,-9.482756,2.2372892,-0.44524407,0.5484802,-0.15722132
4.319045,-9.5760765,1.4763715,0.23403756,-0.63843006,-0.083306685
4.7569313,-10.145568,0.9906286,0.48754644,-1.4899756,-0.1786016
4.347759,-10.813166,-0.04546363,0.5956695,-1.8681009,-0.38873908
3.7974095,-13.512269,-0.078963146,0.1833358,-1.5547272,-0.38018698
3.4337006,-15.256638,2.333002,0.18883358,-0.11247548,-0.29955283
1.9214365,-16.701902,7.3842506,0.9695188,2.8777077,0.30642503
3.5509489,-15.053247,7.9657063,2.1894157,4.2252755,1.3222932
5.572884,-13.617554,6.5252275,3.4313037,1.2839614,1.8635193
6.3457656,-13.701303,0.038285162,4.6719704,-0.82718724,1.792659
8.006385,-14.2133665,-4.2999024,5.0268826,-0.48571387,1.2153919
9.475577,-12.155539,-8.879765,3.54859,0.9406554,0.6124683
8.79123,-9.025727,-8.391629,0.8528436,1.0970368,0.96554816
8.169097,-7.1784678,-5.4029937,-1.1019237,1.8306854,0.9918153
6.0634127,-5.8863435,0.9810573,-1.7262275,0.870406,1.079169
2.8426733,-6.111269,7.8867435,-0.13614649,-0.34826928,1.3852123
4.8263235,-5.8624153,0.15553348,1.7440953,0.43913543,1.1268164
2.7421749,-4.974678,-3.6370904,1.8931463,-0.62010413,0.6143009
1.119841,-4.7114677,-4.2161536,1.2615122,-1.3586396,0.73341954
4.412365,-2.8785655,-3.4073794,0.5174788,-0.79908746,0.8898009
5.9246287,-0.27517462,-3.3643086,-0.06589704,-0.62132585,0.54893833
5.8863435,0.7393822,-2.6919255,-0.6950878,-0.68485576,0.42737627
6.302695,-0.91884387,-2.2157538,-1.4977641,-0.7624356,-0.06436988
