accelerometer.x,accelerometer.y,accelerometer.z,gyor.x,gyor.y,gyor.z
-1.783189969,-0.5585948367,-0.3415121747,0.4171944559,-0.08413745463,1.231066108
-1.857737261,-0.4478489814,-0.3222007406,0.4455297589,-0.02257891372,1.099998236
-1.102489386,-0.2736611661,-0.7731523642,0.4627846479,0.1493070871,1.087563634
-0.5549496121,0.02918547021,-0.9176268861,0.4346766472,0.4196823537,1.110933542
-0.7608637413,-0.1016501102,-0.7313917823,0.3911922872,0.7366832495,1.127131104
-1.104100548,-0.4480506415,-0.5674024126,0.3635906577,1.039445043,1.149766922
-1.090343898,-0.3915826121,-0.2545230426,0.370270133,1.221105933,1.24807322
-0.6100836895,-0.06146276896,0.1431634393,0.3410402536,1.314145088,1.377979755
-0.2173876363,0.2260273082,0.0682744948,0.3827251196,1.376669168,1.486083388
-0.1319376964,0.5201423565,-0.6471259376,0.4950529039,1.499578714,1.52226913
0.1453304081,0.7296405547,-1.058037227,0.6754173636,1.683645487,1.575969696
0.3177513599,0.8352709667,-0.5422065965,0.8497878313,1.752298117,1.691359401
0.3494412142,0.6120888188,0.5364882189,0.9001940489,1.586008191,1.81823802
0.5021725462,0.344423386,1.77359022,0.7947145104,1.161500335,1.918421984
1.089597025,0.3563949788,2.026866477,0.696216166,0.6755580902,1.991981983
1.662487368,0.4219128684,1.519174145,0.7186761498,0.2959811687,2.050498724
1.788014174,0.4509507468,0.514127334,0.7687997818,0.1135746241,2.020567179
1.725398144,0.4723948092,-0.2753162398,0.793141067,0.1532245278,1.94998765
1.743912582,0.8219406528,-0.9434265133,0.8367567658,0.2967899442,1.887389064
1.297383305,1.229684418,-1.300873924,0.9846894741,0.5675517917,1.777124047
0.5528185549,1.520351664,-1.645335596,1.153979897,1.064594865,1.631595612
0.08809457264,2.262548918,-0.8251011626,1.216115355,1.634392858,1.575804472
-0.3026657267,2.829969451,-0.1115571717,1.052150965,1.954763174,1.649641752
-0.0456982136,2.899970623,1.394311501,0.4767329693,1.385098934,1.84967351
0.7865044516,2.390276303,0.2199807215,-0.05685424432,0.822627604,2.022230387
1.163090643,2.177285587,-2.466580668,-0.4244315624,0.8280866146,2.064271688
0.4998486698,1.620118153,-2.413298575,-0.6003780961,1.013500094,1.901040196
0.2388158252,1.507915961,-1.192874152,-0.6729546189,1.372218013,1.703036785
0.6370137089,2.106589126,0.6427244878,-0.7862210274,1.684479237,1.544068933
0.1029982551,2.231685286,1.834341918,-0.8799616694,2.037996054,1.330765009
-0.8582134509,2.297363626,1.947551533,-0.9059218764,2.558517218,1.063181758
-1.370116095,2.669957168,1.747555615,-0.9168692827,3.155957937,0.8261644244
-1.428132815,3.718078274,1.351485921,-0.8509565592,3.69691968,0.5636880398
-2.396530688,3.926693552,1.015471759,-0.7241949439,4.052636623,0.3518940806
-2.691631824,4.035969335,0.7868307609,-0.5504570007,4.189335823,0.2454523146
-2.390881137,4.086524048,0.4663362398,-0.3245638907,3.571127415,0.2836011648
-0.03900631474,2.987321282,-0.6216045429,0.03236121684,1.802082539,0.4541350901
0.219089764,1.309319096,-2.633309691,0.2363142818,0.8659371734,0.5300055146
-0.1371535314,0.7141650454,-1.991691704,0.1439888924,0.7102788687,0.6262859702
0.4615124729,0.6382789066,-1.015233858,-0.1735882461,1.210009813,0.728109777
0.4683472873,0.4287494364,-0.1124795472,-0.6558302641,1.900253415,0.8416701555
0.8756433091,0.1327495973,0.6256149476,-1.166638136,2.300498724,0.9753097296
1.154071543,-0.421349097,-0.01381751295,-1.55429244,2.475473642,1.060646176
0.958608008,-0.9775725285,-0.6367015743,-1.66757822,1.973746538,1.084390879
0.4220750732,-1.397559982,0.7596335419,-1.329534411,1.28044343,1.226984501
1.405029587,-1.891835491,-0.8423398822,-1.07351017,0.8425548673,1.24972713
1.179971416,-2.432327393,-0.006274257964,-0.9455787539,0.2879196107,1.062425137
1.681555787,-2.449192895,0.2792319519,-0.8381996155,-0.2760536373,0.8055654764
