accelerometer x,accelerometer y,accelerometer z,gyroscope x,gyroscope y,gyroscope z
-3.7852328,-8.53892,0.70509243,0.73299557,0.120254934,-0.007531968
-4.882974,-8.63828,-0.079008654,0.75559753,-0.44601715,0.41763026
-0.46806642,-10.95467,0.63206923,-0.09839208,0.1031507,0.3693719
-3.4320881,-11.587936,-1.328782,-1.0073596,1.7787541,-0.67032075
-5.604826,-10.779893,0.62728083,-1.0311834,2.9784935,-0.8376978
-5.309142,-10.011354,-2.6168625,-2.1276863,-0.3342288,-1.4113003
-1.9692309,-6.136339,0.08738836,-1.3812091,-0.8424687,-0.569528
-4.331111,-3.5685577,-1.3096284,0.4715452,-0.9005009,0.24353364
-2.2505496,-11.739968,-7.65546,1.968165,-0.4661757,0.8513446
-6.432023,-10.176555,0.7015011,-0.21079129,-0.85896206,-0.7204117
-3.4632127,-1.2689269,8.23366,0.93641365,-0.3769894,0.25208578
-0.81761986,-10.029311,-6.007052,1.6859453,0.48494148,0.709013
-3.016694,-8.483853,-0.34117374,0.5143058,-0.4044783,0.23803586
-2.8095956,-8.596381,0.90500826,0.45077577,-0.07461108,0.19832961
-6.009446,-9.255983,-1.2617443,0.83195573,-0.6158377,0.4555039
0.94930094,-12.196063,-0.21068975,-0.55654097,-1.4343971,0.22459683
-2.255338,-11.4359045,-0.19033903,-1.8589058,0.4788328,-0.7992133
-7.4603324,-10.790668,3.5661635,-0.31891444,3.896013,-0.45896137
-5.209783,-8.532935,-0.6631939,-2.269407,-0.32995278,-0.9696447
-1.7872716,-6.7013707,-1.3838485,-1.7300131,-1.5443529,-0.3074668
-3.276465,-4.3023806,-3.891775,0.40435,-1.1845533,0.042558983
-3.1771057,-7.7691846,-7.0329676,0.62181807,-1.4197364,0.28568336
-3.4165258,-8.955511,-0.676362,-0.035472956,-0.6714264,-0.1425332
-5.270835,-6.7372837,1.34195,1.2265747,0.67675316,0.4170194
-1.8626889,-9.788693,-2.2756886,1.0274326,-1.1485122,0.3467699
-3.323152,-8.64666,0.7015011,0.7476563,-0.62683326,-0.03563177
-3.345897,-8.178593,-0.6500258,1.0567541,-0.054452524,0.22398596
-3.3087866,-8.343793,-1.151611,1.0940168,0.6498751,0.35776547
-0.8619126,-11.508927,-3.5853171,-0.8460911,0.4721133,-0.47056782
-9.660604,-12.391191,4.662708,-2.6310394,0.94125783,-0.927495
-3.8414967,-9.660604,0.17118542,-2.3549283,-0.44051936,-1.0655506
