accelerometer.x,accelerometer.y,accelerometer.z,gyro.x,gyro.y,gyro.z
-0.3595937749,11.4943985,-5.383024579,0.5671951771,1.600355625,-5.565591812
2.064792011,14.57428175,-4.579413364,0.2349710763,0.2269317806,-5.67711544
5.208279422,18.81507925,-3.346973509,-0.5391436219,-0.7304906249,-6.072615147
8.576168294,20.77811418,-2.149920026,-0.8723609447,-1.47742188,-6.694343567
12.06376608,20.61301013,-1.193615326,-0.629779458,-2.105750322,-7.337395668
15.10887495,15.82214831,-0.08943360269,0.2564938664,-2.729743958,-7.352861404
16.27844831,8.173216439,1.507002938,1.50359273,-3.533360243,-6.493600368
15.03545082,1.484890182,3.919162572,2.413953543,-4.017065525,-4.63972187
11.80136836,-1.282628073,6.066117902,2.761291742,-3.5361166,-2.601929188
8.587963946,-0.6140998663,6.46623015,2.532224894,-2.619825125,-1.253780484
6.251067642,0.5504150374,5.583690944,1.83206749,-1.843308091,-0.8360927105
4.693473458,0.08573474817,3.885603416,0.9712352157,-1.372814536,-1.138845325
3.714012047,-1.858642831,2.953354131,0.2661883235,-0.8351932168,-1.374192715
3.396449196,-3.442232457,2.180557594,-0.02465643734,-0.1434464902,-1.348975301
3.288092281,-4.222982437,1.268383128,-0.09052372724,0.4386207461,-1.183141828
3.215096603,-4.337584968,0.03350494085,-0.17018646,0.6613109708,-1.092843056
3.281494783,-4.278850455,-1.054431896,-0.3177300394,0.5025828481,-1.111438274
3.546212472,-4.158046147,-1.693618419,-0.5168423057,0.1536144465,-1.230515957
4.053378734,-4.111545092,-1.901860042,-0.6667482853,-0.1683103442,-1.387204885
4.830658408,-3.905633228,-1.859709876,-0.7204546332,-0.3493722677,-1.547994018
6.080187929,-3.73854297,-1.637607048,-0.7122419477,-0.38933599,-1.61570704
7.639251016,-3.267576148,-1.118916351,-0.7453840375,-0.2968226075,-1.47030592
9.374389633,-2.010609755,-0.9431078027,-0.7095942497,-0.2455707043,-1.215469003
11.12208378,-1.023539914,-0.5433588353,-0.5476934314,-0.218950063,-1.002509117
12.6386492,-0.9624953709,0.01659662227,-0.3412435949,-0.246144399,-0.62714535
13.01669341,-2.11557235,-0.2200096554,-0.2191864103,-0.3366234303,-0.007674987428
12.44778761,-2.88571092,-0.803221047,-0.1587164402,-0.5683090687,0.7869671583
11.41089838,-2.977467997,-0.9775006323,-0.09278678149,-0.8856701851,1.66420424
11.2219435,-0.9264239405,-0.4396811648,0.03924194351,-1.254499435,2.288243294
11.19245203,2.464506784,0.84990418,0.2445777953,-1.274865389,2.443838358
10.78873328,3.337108533,2.911974657,0.4935371876,-0.6018172503,2.554526567
9.591998949,1.970066732,4.516635713,0.8144455552,1.013251185,3.048166275
8.552205234,1.114551142,3.70375778,1.063166499,3.067401171,3.8155725
8.272199376,2.070966316,1.429597042,1.103260517,4.804737568,4.718382359
8.872076655,4.186340513,-0.4776072831,1.169558287,5.896281719,5.497225285
9.541061958,6.229371943,-3.044754942,1.225954175,5.875014305,5.780996323
9.442079021,6.854975201,-5.327016861,0.9338983297,4.597263336,5.550266266
8.489874743,6.741590813,-5.401663813,0.1723596305,2.893134356,5.128156185
7.031385076,5.905785302,-4.866295831,-0.6680640578,1.405232787,4.736708641
5.79768733,5.169363708,-4.138741727,-1.220958829,0.3685235679,4.579890728
4.542041372,4.843858081,-3.483726789,-1.388387203,-0.1435435265,4.730402946
2.908184033,5.325975243,-3.132289725,-1.213584065,-0.2591537535,5.059530258
1.126585278,6.649898618,-2.939883239,-0.9019422531,-0.1682726592,5.290697098
-0.6441121428,8.152062007,-2.530017659,-0.6455376148,0.1159926876,5.265199661
-2.447275663,9.443681196,-2.235035765,-0.4747712612,0.5935634971,4.891654015
-3.772605983,10.17204983,-2.425403439,-0.4636444151,1.160890579,4.323093891
-4.43242832,10.67817915,-3.210899736,-0.5700337291,1.542116284,3.683848143
-5.192635863,10.94053946,-4.325158032,-0.6698400378,1.590784669,2.922614098
-6.111331839,10.29385133,-5.725160439,-0.6093113422,1.021172166,2.14190793
-7.369549109,9.251467602,-6.185968855,-0.7005546689,0.06496099383,1.378373384
-8.528333945,8.457944065,-5.675415288,-1.140489697,-0.8140437007,0.6889284849
-9.488485968,8.565345287,-4.029322736,-1.526071548,-1.226399064,-0.01713041961
-10.00870285,8.329258064,-3.114299311,-1.491402149,-1.261103511,-0.6800047159
-9.816325006,8.149489526,-2.369261865,-1.096446633,-1.130946636,-1.24312079
-9.260965498,8.542205234,-1.466986277,-0.687359035,-0.8795334697,-1.851547599
-8.285356379,9.163147514,-0.5394827245,-0.3866390586,-0.5710641146,-2.474761486
-6.609808015,9.96553474,0.08755173446,-0.2240592986,-0.3493604362,-3.048790693
-4.669973925,10.76278285,0.133982354,-0.2333990932,-0.3492832482,-3.555347681
-2.53048177,12.44874038,-0.01818096886,-0.4103470445,-0.5734440088,-4.114109039
-0.5485404757,13.8669144,0.1546592313,-0.6170276999,-0.8152297139,-4.810711861
1.507298998,14.18237619,1.322254565,-0.7284827232,-0.6962864399,-5.393799305
3.472313123,13.13891226,2.320204404,-0.6300175786,-0.1524592936,-5.601772308
4.923630706,11.20492924,2.347825693,-0.2888831496,0.500340879,-5.398208141
6.098747083,9.449482575,1.998852097,0.2682883739,1.068410873,-4.944915771
8.024032424,7.881186965,0.6884288389,0.9056367278,1.166288018,-4.622957706
9.662212887,3.927096872,-1.187249298,1.141918182,0.2885866463,-4.135663033
9.291241979,-1.146943007,-1.964435448,0.7801735401,-1.197820306,-3.042312384
7.080743858,-3.033026802,-1.964815095,-0.01416451205,-2.473926544,-1.997723699
4.804169629,-2.684521408,-1.848387979,-0.6932472587,-3.38062048,-1.401550055
2.825648373,-2.036360866,-1.110233863,-0.9605074525,-3.645642042,-1.210518599
1.593643403,-1.99072432,-0.1189241933,-0.8240171075,-3.306732416,-1.183849216
0.7953881614,-2.77083834,1.145315698,-0.5431078076,-2.516517162,-1.100123167
0.01189209785,-3.087493721,1.598846232,-0.4737890959,-1.452040076,-1.027623653
-0.4527098655,-2.773663334,1.033441715,-0.6841175556,-0.5587574244,-1.142026663
-0.1333756203,-1.869510262,0.1188882452,-1.049141884,-0.0008696152363,-1.498849034
1.459305659,-1.218820494,-0.4317322516,-1.340806007,0.2902412117,-1.937406063
3.697547527,-0.2385579962,-0.792072461,-1.713136911,0.4569106102,-2.385637999
5.958257247,0.6932242565,-1.207395137,-2.14388299,0.7179954052,-2.935683489
8.943554915,-0.7149807457,-2.183914942,-2.355485916,0.8713120818,-2.965028763
12.38110769,-1.941694039,-3.283021262,-2.172890186,0.9582862258,-2.282428265
14.04993405,-2.808507853,-5.241528196,-1.601797342,0.5848505497,-1.467602491
14.3003935,-2.285468314,-6.421682568,-0.8416192532,-0.1842437834,-0.9796433449
13.4840701,-3.418755136,-6.099819096,0.2297261804,-0.8936479092,-0.7088059783
13.38081431,-4.618937565,-3.280443812,1.401046753,-1.009936213,-0.02969579212
13.10485568,-5.304180175,-0.0237684136,2.403258801,-0.4724386334,0.9803729653
12.40581777,-5.268023405,2.427830666,2.972578764,0.4132398069,1.909978032
10.81913544,-5.379118219,2.751818874,2.671822309,1.014085889,2.641840458
8.914036559,-4.915820909,1.855944678,1.573092222,1.133609891,3.200351
7.370493697,-3.14401465,0.7201113866,0.5320152044,1.171355367,3.59796524
6.865237067,-0.430105235,-0.3277265182,0.2046388835,1.337071538,3.945735455
6.713493431,2.209204574,-1.039374028,0.6524306536,1.489355087,4.24504137
6.218875099,3.645977499,-1.118488189,1.421564698,1.738117337,4.456338882
5.704287162,4.085899194,-0.7856088179,1.80293107,1.994408727,4.759922981
4.879682843,4.393336081,-0.6927753437,1.624759555,2.166855574,4.918282509
4.104479976,4.71959165,-1.118766714,1.066063643,2.002067089,4.88756609
3.040167322,5.124669411,-1.448805308,0.3670712113,1.55142498,4.739544392
1.720979743,5.450482497,-1.465420635,-0.1487377733,0.9600890279,4.55704546
0.1452805776,5.85473316,-1.108171085,-0.5435580015,0.5275915265,4.32274437
-1.397446877,6.253955181,-0.8589712835,-0.8227835298,0.3612141609,4.055222034
-2.777109675,6.742524295,-0.9847229848,-0.9299696088,0.3791699708,3.753102779
-3.825280757,7.118157935,-1.20202835,-0.8195989728,0.4358783662,3.451491594
-4.87098808,7.402565828,-1.604064259,-0.6211793423,0.3960792124,3.157962322
-6.234968741,7.983020615,-1.766447362,-0.5251943469,0.3224664629,2.766826153
-7.448322786,9.055496702,-1.747750845,-0.5130969882,0.28891626,2.113052607
-8.044412364,9.609390229,-1.405181563,-0.5617451668,0.289113313,1.247159123
-8.115593102,10.02485202,-1.37072955,-0.7261939049,0.3024185896,0.255466342
-7.80277043,10.08897173,-1.631876687,-0.941057086,0.3099464774,-0.7324582338
-7.060688327,10.16863856,-2.155658569,-1.134709597,0.2336919755,-1.514518142
-6.31966947,10.8928869,-2.432603579,-0.9947883487,0.05603053421,-2.242494822
-5.692978417,10.37259461,-2.483158878,-0.6703606248,-0.2107809037,-2.879962206
-4.653728892,10.6280225,-1.944640614,-0.5399483442,-0.4074909091,-3.391998053
-3.364636592,11.88556523,-0.9765350021,-0.4021631181,-0.5196174979,-3.963198662
-1.752437542,13.56152393,0.337955359,-0.1079048067,-0.5395056605,-4.77879858
0.7260995211,13.73490949,1.851729691,0.2576086223,-0.3379786313,-5.536499977
3.265111219,11.73629237,3.25326939,0.6093419194,0.1556091011,-5.796932697
5.16656794,9.473044068,3.900994755,1.180741668,0.6009601951,-5.551228046
5.970028933,7.775499562,4.281780371,1.767235756,0.8954357505,-5.139582157
6.051124916,6.162438926,3.804723999,1.971385598,0.9556940198,-4.946368694
5.755389573,3.933876157,2.396455284,1.631143808,0.7934206724,-4.868221283
