lsm6dso_acceleration_sensor.x,lsm6dso_acceleration_sensor.y,lsm6dso_acceleration_sensor.z,lsm6dso_gyroscope_sensor.x,lsm6dso_gyroscope_sensor.y,lsm6dso_gyroscope_sensor.z
-0.2873042,1.5370775,12.876316,-0.2874121,-1.0183887,-0.023289237
-0.2777274,1.6472107,9.510069,0.7968737,0.56375223,0.7378489
-0.6871359,2.7126305,6.807015,1.294118,-0.10514518,0.7378489
0.12689269,2.882619,6.2108583,0.6478226,-0.4649448,0.6724863
0.3854665,3.2800562,6.7232175,-0.0027488936,0.010919216,0.45623997
-0.35194764,3.086126,6.2276177,-0.24648413,0.30657798,0.2766456
0.37828386,3.572149,8.145373,-0.33628133,-0.08315403,0.22716552
0.45729253,3.560178,10.034399,-0.51343226,-0.07338019,-0.15034921
0.45968673,3.3925838,11.257835,-0.5910121,0.1483639,0.0884991
1.163582,3.9312792,11.688792,-0.27885997,-0.030008756,0.15752688
1.7190368,3.8283286,12.450149,-0.355829,-1.320767,-0.44967318
2.3678656,1.7980455,11.205163,0.12186762,-1.1967614,-0.2578615
2.2409728,2.7102363,7.214029,0.8219192,0.77816594,0.067118816
0.46208093,3.8019924,5.585972,0.34483343,0.39393172,-0.40630174
0.8283938,3.1675289,6.7806783,-0.52626044,-0.13935363,-0.7251734
-0.7015011,2.9783869,7.9203186,-0.5006041,0.40248385,-0.5260313
-0.06464344,3.4165258,9.165303,0.051618114,0.35117117,-0.1540144
-1.4437037,3.620033,9.694422,-0.01863139,0.85513496,-0.050167307
-2.0590134,3.5936968,11.559505,-0.46883908,0.19601138,0.13553573
-1.460463,3.1268275,11.310508,-0.5006041,0.56863916,0.2955824
-0.6895301,2.944868,13.359944,-0.6356053,-2.6115253,0.31390837
2.348712,1.079785,11.382334,0.43157628,-1.0574841,0.7964919
1.1827357,2.2266076,9.208399,1.3900238,0.9693668,0.73479456
0.94331545,2.8299465,6.6011133,1.3888022,0.6541603,0.6639342
0.6584055,3.1627405,6.095937,0.6600399,0.08666651,0.31635183
0.5243302,3.3063924,6.1893106,0.11575896,-0.11247557,0.20212004
1.2425907,3.7804444,7.3744407,-0.10903945,0.10865766,-0.063606344
1.3862427,3.7421372,9.435848,-0.16890424,0.1501965,-0.40385827
1.103727,3.6367924,10.204387,-0.44868052,0.755564,-0.55168766
-0.06703765,3.3135753,11.772589,-0.5305365,0.4208098,-0.29206994
0.6512229,4.1802764,13.340791,0.102319926,-0.24686591,-0.29756773
-0.5386954,2.042254,7.424719,0.2275473,-0.22182044,0.25221097
1.0031705,3.691859,6.395212,0.45906523,-0.22182044,0.7225772
0.8690952,4.956297,7.190087,0.49266282,-0.47777298,-0.80153155
0.23223756,3.7900212,7.012916,-0.01740966,-0.2932917,-1.0751992
-0.45010993,3.8714242,7.3576813,-0.5458081,0.12148582,-0.45700356
0.44771573,5.0951605,8.3512745,-0.43890667,0.4208098,-0.178449
-0.4165911,5.4255605,9.694422,-0.086437434,0.19906572,-0.40996695
-0.80684596,5.0472765,11.990461,0.13041973,0.1764637,-0.32750013
-0.7565677,4.982633,11.267412,-0.36682457,0.941267,0.106214195
-0.78769237,3.1028855,12.201151,-0.14508049,-1.4062881,0.2149482
0.7182605,1.7884687,10.00088,0.6612616,0.30963233,0.3206279
-1.2425907,2.231396,7.1134725,0.83658,0.62056273,0.69753176
-0.30406362,2.96881,6.050447,0.43768495,0.05551238,0.7897724
0.272939,3.4524388,6.476615,0.22327125,-0.0959822,0.3994295
-0.17238252,3.7421372,6.232406,0.06078109,0.30657798,0.021303926
-0.035913024,4.4005427,7.949049,-0.23671028,-0.29878947,-0.19738583
0.31364042,3.775656,10.065523,-0.067500606,0.037797287,-0.436845
0.34476504,4.6591167,10.494085,-0.17134771,0.71341425,-0.2767983
-0.32321724,5.9355254,9.694422,-0.61544675,-0.17234036,-0.34643695
0.22026655,3.8163576,13.110948,-0.88056225,-1.2639565,-0.8815549
0.5793968,2.4349031,10.127772,0.14935656,0.31268665,-0.011682798
0.2705448,4.060566,6.143821,0.65270954,0.4641812,-0.118584216
-0.28491,3.6607344,6.3066263,0.25870144,-0.9292024,-0.7422776
0.10534488,3.2249897,7.1230493,-0.12064589,0.13003793,-0.9163742
-1.3383588,3.8714242,7.6617446,-0.32162055,-0.18028161,-0.76426876
0.24899697,3.3973722,7.6018896,-0.41447207,-0.10392345,-0.4637231
-1.1851299,4.4675803,10.10383,-0.61117065,1.2143238,-0.33544138
-2.566584,4.24492,10.611402,-0.7693848,0.41836634,-0.39041924
-3.0909145,3.1914709,12.373533,-1.2055426,-0.07887798,-0.0538325
-0.9816227,1.4293385,14.10933,-0.54092115,-1.4392749,0.28153253
-1.7429788,1.0223241,9.330503,0.07971791,0.9479865,0.60406935
-1.6184803,1.6879122,7.3912,0.061391957,0.36522105,0.8276461
-0.80205756,1.7429788,7.762301,0.106595986,-0.31589368,0.11537717
-1.2449849,1.2569559,7.237971,0.1469131,0.017027868,0.274813
