accelerometer-z,accelerometer-y,accelerometer-x,gyro-z,gyro-y,gyro-x
-0.8998375469,-1.753288021,0.7867273006,2.585770369,-0.9171398282,-0.4286069572
-1.66840609,-1.909071288,-0.6912696153,2.208290577,-0.7837492228,-0.1437493414
-1.652405388,-2.696180866,0.426862892,2.119143009,-0.3883682787,-0.04042961076
-2.386363222,-3.73507091,1.920930653,2.121061325,0.03360912576,0.03375983611
-4.454235663,-0.7716454668,2.336097846,2.303760052,0.2232746482,0.2852796912
-1.467867736,1.633916961,1.146638471,2.129418612,-0.147220403,0.1962055415
1.882647392,1.558860259,-0.8027911311,2.416109085,-0.6577523947,0.2306745648
0.7596785501,-2.115602161,2.67814895,2.942349195,-1.037705183,0.4929522872
-0.4309668568,1.781568944,2.647934429,3.17953825,-1.495753407,0.6551254392
-0.2878109432,-1.139327271,-1.607737979,2.86719203,-1.705981016,0.6097622514
2.655989141,-3.835966402,-5.505411772,2.265708447,-1.996348619,0.1907985657
3.147555099,-4.355840171,-5.17640369,1.74918735,-1.636285543,-0.2406746745
0.6006406653,-5.171017321,-5.175256274,1.155660629,-1.15633595,-0.7598561049
4.286065208,-6.810888222,-5.78791354,0.4492703676,-1.05855906,-1.219968557
2.877839748,-4.385348589,-3.370360815,-0.09803560376,-1.083055854,-1.432139158
0.1658347053,-0.154197459,-0.6169172619,-0.4278233945,-0.7971635461,-1.413347006
-0.9981215417,3.88711499,2.259673363,-0.4753698707,-0.3108724356,-1.301594734
-0.9942951152,6.596937428,2.136352103,-0.4443992972,0.213404566,-1.090361714
-0.944193406,5.139964595,-0.1067377887,-0.5837164521,0.5475151539,-0.6927655935
-0.6981447617,2.586235806,-1.694708406,-0.7975876331,0.828571558,-0.3177759051
-0.2837550554,1.047521679,-1.650201741,-0.9297406077,1.331328273,-0.1911522001
-0.09283617767,0.3971721026,-1.551435077,-1.02973032,2.083273649,-0.3802913427
-0.9096236124,-0.003534603867,-1.469904795,-0.9769513011,2.179299116,-0.342707485
0.5890156574,1.364922325,0.5343208117,-0.6106814742,1.997022033,-0.332280457
0.7517372357,2.100281258,0.8341729423,-0.142569676,1.767397642,-0.07533307374
-0.3495861756,2.559711371,3.057418901,0.2509409487,1.606778502,0.1567550749
-0.1226210112,1.105815462,2.225647174,0.3672244251,1.213148713,0.3582591414
-0.4638438384,-0.3720610423,0.7652063736,0.4244620204,1.227116823,0.5929998755
-1.262331719,-1.699729449,0.1885480569,0.5394451022,1.337230086,0.8268139958
0.9840554608,-2.052785932,-0.2128454628,0.724516809,1.113452077,0.8149519563
3.24614816,-1.591786377,0.05778408045,0.9461283088,0.7464966774,0.5368303657
3.118735247,-0.9740952078,0.146426825,1.135949135,0.5287507176,0.2120539695
1.818573271,-0.5818968019,0.2955634935,1.189202547,0.4904294908,-0.03203300014
0.1151087267,-0.7138719077,0.364590268,1.185240507,0.5907306671,0.01649599522
-1.319213298,-0.6243705005,-0.07168518003,1.133338928,0.7544487715,0.3420535922
-1.576107161,-0.8462035719,-0.8875795384,1.07177043,0.9617581367,0.6996552944
-0.6500526387,-1.156410508,-0.8708312326,1.077376604,0.9674291015,0.9639956355
1.742699992,-0.997454456,-0.4138333146,1.196990609,0.7335908413,1.031083226
2.51570038,-0.5000239898,-0.6810375596,1.412171602,0.736941874,0.965959549
1.195886778,-0.4132885402,-0.875126884,1.622016191,0.9368661642,0.8036862612
0.7323464527,-0.764670367,-0.6709159785,1.765915394,1.11577332,0.5767852068
0.5114058001,-0.8913508736,-0.3765037009,1.797159672,1.232575893,0.3256415725
0.9120910254,-1.107120115,-0.5456891779,1.630297184,0.8978646398,0.1273146272
1.511668884,-1.897204325,-0.8207260163,1.360050082,0.6667083502,0.1109303012
0.4602361693,-1.967835612,-0.4716074582,1.022674918,0.6346760988,0.1715816557
0.5047369898,-2.131682358,-0.7503145094,0.6686239243,0.592833519,0.242221579
1.025325629,-1.805036329,-0.8755459862,0.3939620256,0.1795554161,0.1493323892
0.8295727551,-2.002044171,-0.7969312992,0.416477412,0.5691840649,-0.2440651357
-2.153017992,-0.8517045074,-2.107095614,0.3192608654,1.48581171,-0.4759753346
2.734588338,-0.3197860806,-2.782793858,0.03840102628,1.007382393,-0.5065174103
3.302241218,-0.4455073867,-0.8197481111,-0.2056454569,0.9840051532,0.09608723968
2.65583775,-4.423007581,0.1276212945,-0.2238185257,0.5629100204,0.6023367643
1.72526838,-9.128483612,0.4052501952,-0.1600392759,0.8196411729,0.7380732894
0.4024064962,-7.415702958,-0.2873036147,-0.1362037659,0.3286918104,1.068709373
1.315790046,-4.750000232,-0.1917342857,-0.08340685815,-0.1361749172,1.344756484
1.318489222,-3.440685812,0.4987704826,0.05121752992,-0.5032850504,1.390017629
1.086966969,-1.553295026,1.318128718,0.2708518803,-0.7758798003,1.463623166
0.7048107955,0.6371113241,1.919274994,0.6570997238,-0.5949165225,1.409908175
1.486289089,3.031328182,3.187636934,1.178527236,-0.07534842193,1.03021884
2.114967078,3.620897418,3.3890661,1.642424345,0.7376330495,0.4227845073
3.000379209,1.632690634,1.955402247,2.034925461,1.043494463,-0.2018511295
3.638262394,-1.585464188,0.8127718424,2.272503376,0.8643693924,-0.610584259
1.906846013,-4.183362959,0.3474067857,2.354118586,0.8503590822,-0.7325139046
0.5025608148,-5.301673745,0.678945848,2.33632946,0.7520126104,-0.5666868091
-0.02854921814,-5.475612847,1.826333091,2.696434975,0.6861203909,0.02230667323
-0.4608221525,-4.95787609,3.589119301,3.536026716,0.4166097641,0.7846676111
0.2974570522,-2.121224677,4.154964547,3.91471076,-0.2333176583,1.186347365
3.016912995,1.451217045,3.672091891,3.932993412,-0.8884572983,0.5583376884
6.924660147,3.000636106,2.89242883,3.774778128,-0.1607325524,-0.2593907416
1.951251264,4.954161453,-3.809331493,3.410422087,1.042781949,-0.6982507706
1.942088884,16.13756918,-15.43340033,2.483212948,1.433899403,-0.9545542002
3.763760121,15.48765566,-18.81800069,1.559559226,2.539206028,-1.216249108
0.309327815,5.359494066,-15.44032809,0.3880366087,2.47694397,-0.937487483
-2.079279825,3.794601542,-11.071947,-0.2481913567,1.358906507,-0.359045893
-3.326347193,4.764145077,-7.500284444,-0.3726334274,0.7184231281,0.03415119648
-2.021629746,6.330765449,-4.480338073,-0.09064954519,0.50329566,0.436029464
-0.4973337278,6.160957163,-1.874064126,-0.1212716401,-0.4176696539,0.4096154571
2.336488891,4.791688333,-0.2104100158,-0.2889392674,-1.512261748,0.1029096767
1.766179067,1.984467013,0.7333652743,-0.06433729827,-1.977028847,-0.09446251392
3.49137029,2.652753812,-0.1398592101,0.04883734882,-2.229457378,-0.5891760588
5.907127364,3.80107746,-1.97065593,-0.08079494536,-1.949053645,-1.267165184
5.140051105,3.541871228,-1.735071543,-0.3207946122,-0.9048607945,-1.965538859
3.802456054,4.254894994,-0.2126505978,-0.5227458477,-0.1382879466,-2.491666555
3.092380324,5.928224512,1.654543569,-0.5558642745,-0.3925795853,-2.91237998
1.407342394,7.608630253,3.310207667,-0.501796484,-0.757178843,-3.160364389
-0.6178910753,8.263581769,4.314197662,-0.4669523537,-0.8203226924,-3.410261869
-1.493026143,6.906500221,4.826937634,-0.3323524594,-1.239985228,-3.404183865
-2.937612372,3.657399641,5.234623824,-0.1706822217,-2.124806881,-2.933431149
-5.754574749,1.714037961,4.604811425,-0.1591925472,-2.705734253,-2.054800749
-5.825188501,0.7202355975,2.410720687,-0.2633160949,-2.264440298,-1.587680817
-4.856898764,-2.826322327,-1.031959587,-0.4478468001,-0.8874438405,-1.97603929
0.5812812638,-0.8787959279,-3.651689447,-0.562913835,0.05083055794,-2.370397806
2.398959668,1.026055112,-3.864354,-0.6233004332,0.07405625284,-2.564448833
1.379470491,-0.7854851915,-2.424387101,-0.6954345703,-0.5071736574,-2.488301039
-0.06478636043,-4.992428348,-2.154668389,-0.9588353038,-0.8068293333,-2.479234457
-1.475576557,-3.094571697,-1.059347141,-0.7753543854,-0.9478324056,-2.427540779
-1.010005895,3.453469891,1.987193808,-0.3761395812,-1.049693227,-2.376431942
