accelerometer x,y,z,gyro x,y,z
0.2838128865,-0.6767389856,1.461172622,0.09396735579,-0.2062069774,-0.03936155513
0.3248890663,-0.6307043797,1.66980602,0.09231140465,-0.3033929169,-0.01009155344
0.2966621755,-0.5953486964,1.762627512,0.08715709299,-0.3981774747,0.007517759688
0.2386877966,-0.5498074269,1.768696018,0.08128003031,-0.4792957604,0.02650210448
0.1991411279,-0.4986103236,1.684621897,0.07144456357,-0.5385658145,0.0506840311
0.1558948741,-0.4405307674,1.54265322,0.06390196085,-0.569734633,0.07828956097
0.1341961794,-0.4274528208,1.353037242,0.06121566147,-0.5644874573,0.09807192534
0.1427210293,-0.3933776788,1.177214226,0.0508178845,-0.5286394358,0.1203740314
0.1753882772,-0.3747114106,1.049407931,0.03604576737,-0.4731172621,0.1461611986
0.1948888042,-0.3757300862,0.9287386472,0.02210012451,-0.4128802717,0.1685655862
0.2255394516,-0.3768034145,0.8180003907,0.02124466002,-0.346832335,0.1872934848
0.2797713926,-0.2918684384,0.583489624,0.04380456358,-0.2659793198,0.2061824799
0.4632188384,-0.2318713581,0.3824631938,0.06978897005,-0.1874346882,0.2308605909
0.7066360382,-0.3318516353,0.3257809371,0.08083868772,-0.1507347226,0.2602413595
0.8891836856,-0.5524903824,0.51670566,0.05189462006,-0.1906743199,0.2858994603
1.070628121,-0.8455284491,0.732652596,-0.008855544031,-0.3126215339,0.2944772542
1.29757649,-1.071112836,0.7902443688,-0.08507287502,-0.4719470739,0.2974823713
1.540397989,-1.234904783,0.5879787521,-0.1524777412,-0.640974462,0.3071312606
1.794531886,-1.361896548,0.2047837369,-0.1810494363,-0.79275769,0.3242432475
1.890560064,-1.417791307,-0.336432095,-0.1668100506,-0.8920147419,0.3368844688
1.958465434,-1.485591755,-0.9826011703,-0.1237480417,-0.940250814,0.3423896432
2.059584944,-1.546440922,-1.635177775,-0.06911728531,-0.9380153418,0.3580626249
2.245642061,-1.654065138,-2.070549552,-0.007947227918,-0.9087185264,0.390594691
2.364357142,-1.748023233,-2.325318094,0.0494960919,-0.8580979109,0.4214562178
2.352339371,-1.859450056,-2.448342416,0.09848632663,-0.8325938582,0.4539941549
